Sample,Site,x_cov,a_cov,x_a_ratio,Sex
MS11669,Whenua_Hou_post,8.06075,8.07,0.999075058,female
MS11670,Whenua_Hou_post,7.58976,13.09,0.579849968,male
MS11673,Whenua_Hou_post,9.62254,9.83,0.978551963,female
MS11674,Whenua_Hou_pre,45.6118,46.25,0.986251586,female
MS11675,Whenua_Hou_pre,21.7829,35.28,0.617444153,male
MS11676,Whenua_Hou_pre,70.6786,72.97,0.968573603,female
MS11677,Whenua_Hou_pre,46.7358,47.11,0.992099394,female
MS11678,Whenua_Hou_pre,34.3745,35.16,0.97756774,female
MS11770,Kahukura,8.40117,14.18,0.59266732,male
MS11771,Kahukura,13.0572,21.68,0.602245176,male
MS11774,Kahukura,10.1143,16.32,0.619767163,male
MS11775,Kahukura,8.91955,14.68,0.607563704,male
MS11679,Long_Bay,27.5767,45.12,0.611157888,male
MS11683,Long_Bay,30.495,49.28,0.618808431,male
MS11684,Long_Bay,31.5989,50.05,0.631403987,male
MS11686,Long_Bay,68.8622,71.27,0.96623378,female
