Species,MS11679,MS11683,MS11684,MS11686,MS11770,MS11771,MS11774,MS11775,MS11674,MS11675,MS11676,MS11677,MS11678,MS11669,MS11670,MS11673
Parapercis colias,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1
Thyrsites atun,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
Notolabrus fucicola,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Nemadactylus macropterus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Trachurus japonicus,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pagrus auratus,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chelidonichthys kumu,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scomber australasicus,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Pachyptila vittata,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Phalacrocorax punctatus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Larus novaehollandiae,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Arctocephalus forsteri,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
Rattus exulans,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
