sample,Source,Source2
SRR1944873,Human,Human
SRR1952058,Human,Human
SRR1952344,Human,Human
SRR1952418,Human,Human
SRR1952455,Human,Human
SRR1952457,Human,Human
SRR1952459,Human,Human
SRR1952501,Human,Human
SRR1952518,Human,Human
SRR1952521,Human,Human
SRR1952522,Human,Human
SRR1952531,Human,Human
SRR1952562,Human,Human
SRR1952575,Human,Human
SRR1952613,Human,Human
SRR1952617,Human,Human
SRR1952618,Human,Human
SRR1952620,Human,Human
SRR1952621,Human,Human
SRR2175647,Human,Human
SRR2175649,Human,Human
SRR2175654,Human,Human
SRR2175658,Human,Human
SRR2175670,Human,Human
SRR2175723,Human,Human
SRR2175724,Human,Human
SRR2175725,Human,Human
SRR2175726,Human,Human
SRR2175727,Human,Human
SRR2175749,Human,Human
SRR2175755,Human,Human
SRR2175756,Human,Human
SRR2175764,Human,Human
SRR2175766,Human,Human
SRR2175767,Human,Human
SRR2175768,Human,Human
SRR2175773,Human,Human
SRR2175774,Human,Human
SRR2175776,Human,Human
SRR2175777,Human,Human
SRR2175779,Human,Human
SRR2175780,Human,Human
SRR2175792,Human,Human
SRR2175804,Human,Human
SRR2240287,Human,Human
SRR2240290,Human,Human
SRR2240728,Human,Human
SRR2240729,Human,Human
SRR2240837,Human,Human
SRR2240921,Human,Human
SRR2241023,Human,Human
SRR2241109,Human,Human
SRR2241305,Human,Human
SRR2241306,Human,Human
SRR2241409,Human,Human
SRR2241505,Human,Human
SRR14842381,Dog_India,Dog_India
SRR14842364,Dog_India,Dog_India
SRR14842376,Dog_India,Dog_India
SRR14842401,Dog_India,Dog_India
SRR14842403,Dog_India,Dog_India
SRR14842389,Dog_India,Dog_India
SRR14842361,Dog_India,Dog_India
SRR14842368,Dog_India,Dog_India
SRR14842383,Dog_India,Dog_India
SRR14842384,Dog_India,Dog_India
SRR14842321,Dog_India,Dog_India
SRR14842393,Dog_India,Dog_India
SRR14842399,Dog_India,Dog_India
SRR14842362,Dog_India,Dog_India
SRR14842404,Dog_India,Dog_India
SRR14842371,Dog_India,Dog_India
SRR14842370,Dog_India,Dog_India
SRR14842398,Dog_India,Dog_India
SRR14842400,Dog_India,Dog_India
SRR14842390,Dog_India,Dog_India
SRR14842365,Dog_India,Dog_India
SRR14842380,Dog_India,Dog_India
SRR14842360,Dog_India,Dog_India
SRR14842378,Dog_India,Dog_India
SRR14842369,Dog_India,Dog_India
SRR14842392,Dog_India,Dog_India
SRR14842395,Dog_India,Dog_India
SRR14842382,Dog_India,Dog_India
SRR14842397,Dog_India,Dog_India
SRR14842386,Dog_India,Dog_India
SRR14842366,Dog_India,Dog_India
SRR14842391,Dog_India,Dog_India
SRR14842387,Dog_India,Dog_India
SRR14842377,Dog_India,Dog_India
SRR14842375,Dog_India,Dog_India
SRR14842394,Dog_India,Dog_India
SRR14842372,Dog_India,Dog_India
SRR14842373,Dog_India,Dog_India
SRR14842388,Dog_India,Dog_India
SRR14842333,Dog_India,Dog_India
SRR14842402,Dog_India,Dog_India
SRR14842344,Dog_Laos,Dog_Laos
SRR14842324,Dog_Laos,Dog_Laos
SRR14842426,Dog_Laos,Dog_Laos
SRR14842338,Dog_Laos,Dog_Laos
SRR14842345,Dog_Laos,Dog_Laos
SRR14842349,Dog_Laos,Dog_Laos
SRR14842385,Dog_Laos,Dog_Laos
SRR14842407,Dog_Laos,Dog_Laos
SRR14842352,Dog_Laos,Dog_Laos
SRR14842396,Dog_Laos,Dog_Laos
