read_length,MS11669,MS11670,MS11673,MS11674,MS11675,MS11676,MS11677,MS11678,MS11679,MS11683,MS11684,MS11686,MS11770,MS11771,MS11774,MS11775
30,420551,422508,295567,3286460,1420357,5194692,2217905,1166663,1504159,2066155,2659906,4536263,461332,861805,714216,749002
31,403613,436588,295150,3359961,1477830,5229190,2248091,1196921,1524034,2065074,2680897,4531778,478493,855818,702232,736572
32,349850,378864,267815,3182355,1324562,4832021,2054561,1108560,1380308,1868122,2369151,4142186,413252,765579,631772,667814
33,298993,317320,244513,2945647,1165571,4402357,1859601,1006004,1243904,1688431,2061387,3759722,345471,679347,559576,602037
34,273442,290354,235235,2832418,1098535,4208694,1797846,970740,1192569,1616081,1921404,3587954,322689,636838,549471,570957
35,251735,275895,224426,2716270,1061341,4054157,1743924,943077,1150606,1549516,1818138,3430058,309277,606268,512326,538188
36,232021,269067,216341,2593548,1029524,3924585,1707010,924997,1117751,1490543,1743307,3307044,302923,582791,487927,508617
37,220207,268023,209757,2472423,1007033,3818887,1682351,913575,1104758,1447692,1684340,3191514,301572,566135,466198,482619
38,209271,271035,206574,2347356,984381,3724798,1672368,910541,1088071,1414308,1643846,3094236,306472,551664,448606,458314
39,203138,280264,203273,2234782,980717,3653902,1667758,914625,1092776,1391406,1623579,3026104,319108,545982,435357,438902
40,204403,306705,205657,2165001,1022955,3679925,1713098,953860,1132299,1417717,1674842,3054771,356337,566003,441201,430264
41,204721,332278,206772,2076366,1065343,3683238,1749276,989543,1159825,1427291,1708903,3052553,390148,577525,441413,418901
42,195078,333051,198993,1914468,1036152,3549586,1696724,973740,1127691,1379181,1658873,2941600,397511,565814,427401,392561
43,164012,273770,177438,1630529,864278,3132993,1478900,859449,984780,1212395,1417167,2600027,321514,492323,368684,339225
44,138780,221513,158513,1388854,720554,2762590,1297300,757538,866283,1075733,1216069,2318382,256752,427634,318263,294495
45,124946,200268,149810,1227519,657583,2557358,1213222,708367,807551,1007293,1116948,2162284,233483,397164,292020,269091
46,117014,190197,142157,1098510,619159,2404667,1148774,676702,778115,963945,1059188,2056956,221725,378588,276519,249327
47,110570,185517,138318,986852,593358,2271600,1099622,656574,754328,926615,1007400,1961417,216231,363201,260702,232169
48,105768,182289,134617,893287,570190,2155126,1051320,639083,738329,898736,974186,1880733,212665,352710,250621,218607
49,101909,182291,131176,808877,553484,2040478,1006636,621586,726786,875644,946330,1803519,209673,342643,241305,207784
50,100727,182120,128315,740826,542573,1942766,966527,611999,718035,854484,922542,1746944,211274,337441,234096,196604
51,99234,186272,126736,679737,543438,1865015,936263,610744,718146,843612,915423,1703933,215808,331876,230302,188786
52,98286,190429,124627,619197,545801,1790183,906430,607688,721084,836256,905578,1666563,222717,327637,226032,180395
53,94331,186191,121325,551654,524496,1676064,852149,583086,704741,810110,863766,1593123,218195,312070,212740,168452
54,81659,154928,111061,463436,445955,1463735,745220,511582,636906,734581,756410,1438157,178424,271571,187167,146839
55,72133,134823,101905,395043,393417,1305717,664601,458498,589909,678813,674083,1312887,150298,241057,164497,130768
56,66564,124945,97592,346379,367227,1194342,610805,426888,565124,646123,626839,1237090,138754,224403,152560,119788
57,63107,118041,93493,306514,348633,1108349,569824,404782,547180,621729,593250,1173783,130234,210368,143744,112323
58,61613,116067,91197,277075,338078,1044856,540790,392451,546007,611245,571297,1133249,128833,202291,139739,106617
59,59377,112066,87621,248612,326470,976985,506738,375447,533336,587149,547165,1076132,123901,192739,132108,99936
60,58013,110450,85177,224750,321394,919144,475622,365175,528565,570332,527620,1032838,121353,186062,129673,94706
61,60271,113235,86767,213747,331389,900281,466835,367861,543089,576871,534336,1031238,125136,187123,133287,93826
62,56090,106792,79692,185250,314634,815626,419947,343124,508597,530738,490627,941462,117721,170790,121975,83891
63,52595,102465,75659,163559,297690,753910,387356,323428,490806,503066,462659,886510,111308,160005,112798,76990
64,46511,88800,69424,139582,260961,663831,343316,286151,453941,461669,409448,806289,96406,141470,98712,68502
65,41433,77131,64407,119232,229247,587949,305871,253738,423172,425889,364256,735936,82512,125499,87656,60653
66,37869,70247,60226,103853,211112,535415,276548,231834,399186,398097,332860,680718,74545,114937,79788,55094
67,35077,65617,56946,91652,198468,487970,255088,218033,381127,374252,309557,637227,69954,105594,74422,50564
68,33371,61349,53547,81629,187817,453235,235127,203815,366686,353354,288961,594187,64471,99624,69849,46630
69,31195,58423,51521,73934,178397,419297,216920,192362,353373,333448,273647,558859,61450,92928,66107,43139
70,30356,56148,48844,66553,169854,390491,200970,182279,341022,315781,257166,524988,58710,88368,63212,40505
71,29556,55209,46886,61383,167673,366949,189376,176122,331076,301465,247573,497254,57527,84715,60908,38421
72,29036,55244,44889,57002,167884,350960,178922,173432,326265,291185,240957,475290,59399,83507,59883,36555
73,28324,54441,43098,52377,166557,331835,170192,169813,319245,279672,232921,452380,59624,81085,58841,34252
74,25196,47836,39588,44218,144364,293381,149428,149282,289540,250418,206062,408371,51486,71016,52289,30335
75,22026,39617,35920,37328,122440,255359,128432,128483,260697,223849,178378,363300,41454,60988,44819,26120
76,19530,34876,32788,32851,109593,229528,115278,116214,240743,204141,160910,332225,37044,55666,40724,23586
77,18325,32454,30644,29060,101516,209295,105063,107484,226861,189083,148301,306932,33780,50460,38180,21654
78,16980,30150,28473,26490,95288,193077,96924,99827,214528,176502,137321,285701,31230,47164,35884,19675
79,16197,28700,26905,23800,89376,177758,89852,93920,205005,165741,128163,264379,29684,44413,33997,18721
80,15130,27049,25493,21280,83850,166229,83314,88766,194719,154912,121311,247872,28573,41887,32401,17235
81,14935,26391,24223,19730,80888,157004,78533,84664,187903,146751,115225,231849,28068,40382,31865,16488
82,14852,26784,23601,18983,82071,151051,74283,83937,183764,142081,112893,223013,29213,40185,31312,15655
83,14626,28122,22957,18465,84972,147107,73340,85467,184303,137909,113940,215876,32291,39947,32294,15313
84,14288,25691,21104,16430,78230,133758,66164,78675,170435,125893,103927,197854,29305,36903,30153,14098
85,11731,21072,18568,13706,64699,115299,56123,66101,148963,109367,88376,172683,22825,31090,25315,12145
86,10191,17490,16749,11617,55077,101891,48670,57615,134673,98507,77865,157041,18641,27198,22669,10671
