read_length,MS11669,MS11670,MS11673,MS11674,MS11675,MS11676,MS11677,MS11678,MS11679,MS11683,MS11684,MS11686,MS11770,MS11771,MS11774,MS11775
30,3568448,1335816,2352771,2280295,3242853,2914976,2522455,2252845,2300382,3181533,1648648,1688381,1606055,2108976,2977828,2846513
31,3381613,1291282,2253735,2238046,3174220,2862170,2509629,2239779,2250052,3096492,1601263,1649238,1571249,2039632,2900001,2773510
32,3165524,1249599,2169500,2191740,3073223,2808250,2464832,2209371,2161868,2954362,1527517,1602188,1536662,1977389,2811556,2687115
33,3028466,1244659,2117535,2138344,3050041,2783461,2434974,2198643,2125639,2898190,1480993,1593305,1529766,1935055,2759855,2605782
34,2824254,1195491,2009830,2027800,2944124,2678714,2373579,2163663,2031594,2777384,1395579,1499239,1495682,1869712,2659052,2498936
35,2669618,1159729,1935362,1937753,2869201,2614638,2334420,2137629,1951057,2651268,1336171,1452093,1468008,1813786,2578982,2401808
36,2568613,1150978,1886222,1827429,2815768,2548203,2293029,2115096,1911352,2577703,1289804,1432339,1454315,1773553,2525514,2302339
37,2410644,1106350,1786882,1710658,2656796,2436142,2234126,2071849,1828593,2468858,1231675,1363250,1412791,1714193,2423108,2175685
38,2269762,1059019,1692684,1584378,2477460,2303360,2138757,2004766,1733717,2323684,1154815,1286174,1361368,1647970,2308084,2043877
39,2198557,1032399,1634858,1470797,2356545,2195127,2056733,1954950,1680676,2239939,1108290,1249865,1326157,1599557,2229062,1939327
40,2086282,991823,1545259,1359547,2227408,2076006,1987718,1899481,1614410,2148721,1064231,1193803,1288157,1555160,2145278,1838890
41,1999340,955963,1478798,1252385,2108210,1973189,1913836,1838122,1527213,2026665,1008545,1133783,1236655,1502349,2051162,1740803
42,1937377,942771,1442377,1157447,2038664,1894950,1846182,1801838,1498228,1991276,985168,1116142,1225760,1483016,2002402,1678271
43,1811378,908751,1365240,1054749,1934067,1799403,1759396,1748039,1441666,1915427,941837,1065489,1192152,1448275,1929832,1595438
44,1712129,877981,1310040,959849,1838582,1713433,1677117,1688754,1384218,1830983,901664,1019902,1158901,1413380,1856939,1518799
45,1663612,870902,1279086,878056,1798592,1640905,1606731,1655957,1362738,1799297,880492,1007581,1141576,1389379,1810214,1463155
46,1575153,838480,1216750,795118,1714868,1544484,1524364,1596785,1316655,1737995,848531,965512,1103425,1345971,1747149,1391323
47,1498472,805158,1168913,718092,1615831,1442464,1428273,1524509,1259565,1647792,804851,909206,1049822,1289631,1651492,1309006
48,1456795,784408,1138638,649926,1542380,1348549,1331624,1462815,1235614,1606835,776942,886214,1017349,1245431,1588931,1245992
49,1383389,747487,1081955,586893,1448647,1241909,1234487,1386330,1191930,1542114,743376,834451,958531,1186534,1503102,1178724
50,1327423,710218,1034748,531482,1364851,1147401,1140161,1308348,1140517,1467159,705670,792713,908582,1126350,1415744,1117926
51,1303062,690436,1012645,488186,1320383,1070183,1065729,1245879,1125914,1437916,684774,774539,872200,1080256,1351330,1074291
52,1245756,656457,970385,440346,1256521,990070,994746,1180897,1089538,1389648,654495,738465,820047,1025818,1281928,1025848
53,1183917,624633,934495,401464,1196976,915888,918196,1104585,1055395,1324696,620666,703922,774819,974321,1199768,977555
54,1135917,603236,906980,366669,1165075,856849,847778,1044570,1042839,1299945,594428,688104,744520,927801,1141736,941806
55,1066133,568698,863839,332434,1115376,791669,781307,983214,1010714,1250244,564524,651783,697200,871521,1066440,895260
