name,taxonomy_id,taxonomy_lvl,KH_blank_1_dedup_minimizer_filtered.bracken_num,KH_blank_1_dedup_minimizer_filtered.bracken_frac,KH_blank_2_dedup_minimizer_filtered.bracken_num,KH_blank_2_dedup_minimizer_filtered.bracken_frac,LB_blank_1_dedup_minimizer_filtered.bracken_num,LB_blank_1_dedup_minimizer_filtered.bracken_frac,LB_blank_2_dedup_minimizer_filtered.bracken_num,LB_blank_2_dedup_minimizer_filtered.bracken_frac,MS10790_dedup_minimizer_filtered.bracken_num,MS10790_dedup_minimizer_filtered.bracken_frac,MS10902_dedup_minimizer_filtered.bracken_num,MS10902_dedup_minimizer_filtered.bracken_frac,MS10903_dedup_minimizer_filtered.bracken_num,MS10903_dedup_minimizer_filtered.bracken_frac,MS10904_dedup_minimizer_filtered.bracken_num,MS10904_dedup_minimizer_filtered.bracken_frac,MS11102_dedup_minimizer_filtered.bracken_num,MS11102_dedup_minimizer_filtered.bracken_frac,MS11103_dedup_minimizer_filtered.bracken_num,MS11103_dedup_minimizer_filtered.bracken_frac,MS11107_dedup_minimizer_filtered.bracken_num,MS11107_dedup_minimizer_filtered.bracken_frac,MS11108_dedup_minimizer_filtered.bracken_num,MS11108_dedup_minimizer_filtered.bracken_frac,WH_blank_1_dedup_minimizer_filtered.bracken_num,WH_blank_1_dedup_minimizer_filtered.bracken_frac,WH_blank_2_dedup_minimizer_filtered.bracken_num,WH_blank_2_dedup_minimizer_filtered.bracken_frac
Mesorhizobium terrae,2725666,S,429,0.22309,354,0.21758,401,0.01987,798,0.01697,0,0.00000,148,0.00233,216,0.00232,1696,0.02030,113,0.00008,0,0.00000,226,0.00034,209,0.00019,102,0.15573,0,0.00000
Acidovorax sp. KKS102,358220,S,388,0.20177,361,0.22188,240,0.01189,493,0.01049,0,0.00000,0,0.00000,0,0.00000,686,0.00821,0,0.00000,0,0.00000,0,0.00000,168,0.00016,0,0.00000,0,0.00000
Staphylococcus hominis,1290,S,208,0.10816,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,1870,0.02013,1112,0.01331,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Flavobacterium sp. CECT 9288,2845819,S,139,0.07228,142,0.08728,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Staphylococcus epidermidis,1282,S,120,0.06240,0,0.00000,0,0.00000,45,0.00096,0,0.00000,0,0.00000,0,0.00000,547,0.00655,0,0.00000,0,0.00000,0,0.00000,242,0.00023,0,0.00000,0,0.00000
Mesorhizobium sp. PAMC28654,2880934,S,113,0.05876,102,0.06269,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,87,0.00013,54,0.00005,0,0.00000,0,0.00000
Flavobacterium ammonificans,1751056,S,109,0.05668,140,0.08605,95,0.00471,180,0.00383,0,0.00000,76,0.00120,0,0.00000,415,0.00497,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Curvibacter sp. AEP1-3,1844971,S,90,0.04680,100,0.06146,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,115,0.00138,0,0.00000,0,0.00000,0,0.00000,20,0.00002,0,0.00000,0,0.00000
Dyella caseinilytica,1849581,S,80,0.04160,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,30,0.00003,0,0.00000,0,0.00000
Cutibacterium acnes,1747,S,76,0.03952,234,0.14382,0,0.00000,1722,0.03663,0,0.00000,0,0.00000,0,0.00000,748,0.00895,288,0.00021,263,0.00034,1438,0.00219,1066,0.00099,0,0.00000,0,0.00000
Mesorhizobium sp. Pch-S,2082387,S,55,0.02860,97,0.05962,225,0.01115,529,0.01125,0,0.00000,60,0.00095,100,0.00108,670,0.00802,123,0.00009,0,0.00000,97,0.00015,75,0.00007,0,0.00000,0,0.00000
Flavobacterium sp. CHNK8,2871165,S,42,0.02184,45,0.02766,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Gordonia polyisoprenivorans,84595,S,40,0.02080,52,0.03196,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,118,0.00008,73,0.00009,120,0.00018,86,0.00008,0,0.00000,0,0.00000
Staphylococcus pettenkoferi,170573,S,34,0.01768,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Burkholderia vietnamiensis,60552,S,0,0.00000,0,0.00000,2872,0.14231,5965,0.12689,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Paraburkholderia aromaticivorans,2026199,S,0,0.00000,0,0.00000,2792,0.13834,5919,0.12591,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,165,0.00025,0,0.00000,553,0.84427,416,0.33548
Burkholderia cenocepacia,95486,S,0,0.00000,0,0.00000,1613,0.07992,2706,0.05756,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Burkholderia ubonensis,101571,S,0,0.00000,0,0.00000,1581,0.07834,3212,0.06832,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,253,0.00039,69,0.00006,0,0.00000,549,0.44274
