Sample,Species,Common name,Diet,CE (ng/ul),RR (×100 million),Fd (%),MR (%),Mitochondrial genome Dm,Mitochondrial genome Cm (%),Nuclear genome Dn,Nuclear genome Cn (%),Mitochondrial genome Accession ID,Nuclear genome Accession ID
MF10,Alces alces,Moose,Herbivore,28.7,8.92,2.05,20.72,11.53,99.66,0.9,25.6,NC_020677.1,GCA_015832495.1
MF11,Alces alces,Moose,Herbivore,31.55,8.61,5.84,15.11,237.19,100,1.07,52.34,NC_020677.1,GCA_015832495.1
BF9,Alopex lagopus,Arctic fox,Carnivore,64.35,27.16,3.43,13.71,10.8,99.83,1.34,19.02,NC_026529.1,GCF_018345385.1
BF10,Alopex lagopus,Arctic fox,Carnivore,97.4,24.13,5.48,11.42,16.15,99.97,0.98,19.54,NC_026529.1,GCF_018345385.1
BF11,Alopex lagopus,Arctic fox,Carnivore,29.85,13.4,5.49,15.39,24.6,99.95,0.77,12.19,NC_026529.1,GCF_018345385.1
CF8,Bos taurus,Cow,Herbivore,37.4,13.56,2,4.79,179.78,100,0.3,19.33,NC_006853.1,GCF_002263795.2
CF9,Bos taurus,Cow,Herbivore,25,14.26,2.79,3.73,368.45,100,0.24,15.01,NC_006853.1,GCF_002263795.2
CF10,Bos taurus,Cow,Herbivore,29.3,13.85,2.2,6.15,106.9,100,0.34,18.18,NC_006853.1,GCF_002263795.2
CF11,Bos taurus,Cow,Herbivore,29,17.79,1.32,6.33,521.56,100,0.44,22.43,NC_006853.1,GCF_002263795.2
SF4,Capreolus pygargus,Siberian roe deer,Herbivore,65.05,13.11,1.55,4.3,111.85,100,0.46,26.53,NC_025271.1,GCA_012922965.1
RF8,Cervus elaphus,Red deer,Herbivore,51.5,13.23,2.14,4.25,51.98,99.79,0.52,37.24,OU343111.1,GCF_910594005.1
RF9,Cervus elaphus,Red deer,Herbivore,44.5,12.47,2.43,3.26,39.71,100,0.37,28.05,OU343111.1,GCF_910594005.1
RF10,Cervus elaphus,Red deer,Herbivore,42,10.08,5.2,24.82,58.78,99.95,0.91,36.93,OU343111.1,GCF_910594005.1
RF11,Cervus elaphus,Red deer,Herbivore,47.1,12.62,2.36,20.95,58.13,99.85,0.98,32.75,OU343111.1,GCF_910594005.1
RF12,Cervus elaphus,Red deer,Herbivore,51.7,12.84,1.23,24.25,76.44,99.79,1.17,36.96,OU343111.1,GCF_910594005.1
RF13,Cervus elaphus,Red deer,Herbivore,60.5,13.8,1.08,24.03,99.97,99.85,1.25,43.38,OU343111.1,GCF_910594005.1
RF14,Cervus elaphus,Red deer,Herbivore,45.5,13.41,1.2,18.42,58.71,99.79,0.92,30.78,OU343111.1,GCF_910594005.1
RF15,Cervus elaphus,Red deer,Herbivore,36.35,13.33,2.46,25.42,41.71,99.69,1.12,35.14,OU343111.1,GCF_910594005.1
RF16,Cervus elaphus,Red deer,Herbivore,42.9,13.52,0.97,14.98,50.14,99.95,0.84,34.09,OU343111.1,GCF_910594005.1
RF17,Cervus elaphus,Red deer,Herbivore,44.25,12.75,1.46,14.67,92.82,100,0.9,38.44,OU343111.1,GCF_910594005.1
RF18,Cervus elaphus,Red deer,Herbivore,26.5,18.04,1.28,10.68,141.37,100,1.04,49.24,OU343111.1,GCF_910594005.1
RF19,Cervus elaphus,Red deer,Herbivore,28.35,8.13,1.29,8.94,79.37,100,0.32,19.78,OU343111.1,GCF_910594005.1
