Sample,host_DNA,AD,Site
MS11669,6.68,palaeofaeces,Whenua_Hou_post
MS11670,19.08,palaeofaeces,Whenua_Hou_post
MS11671,0.31,palaeofaeces,Whenua_Hou_post
MS11672,0.1,palaeofaeces,Whenua_Hou_post
MS11673,9.74,palaeofaeces,Whenua_Hou_post
MS11674,50.84,palaeofaeces,Whenua_Hou_pre
MS11675,25.21,palaeofaeces,Whenua_Hou_pre
MS11676,55.32,palaeofaeces,Whenua_Hou_pre
MS11677,40.17,palaeofaeces,Whenua_Hou_pre
MS11678,29.07,palaeofaeces,Whenua_Hou_pre
MS11679,34.69,palaeofaeces,Long_Bay
MS11680,4.34,palaeofaeces,Long_Bay
MS11681,13.6,palaeofaeces,Long_Bay
MS11682,1.15,palaeofaeces,Long_Bay
MS11683,33.49,palaeofaeces,Long_Bay
MS11684,51.18,palaeofaeces,Long_Bay
MS11685,31.78,palaeofaeces,Long_Bay
MS11686,62.14,palaeofaeces,Long_Bay
MS11687,4.42,palaeofaeces,Long_Bay
MS11688,11.17,palaeofaeces,Long_Bay
MS11769,10.42,palaeofaeces,Kahukura
MS11770,17.32,palaeofaeces,Kahukura
MS11771,20.46,palaeofaeces,Kahukura
MS11772,3.66,palaeofaeces,Kahukura
MS11773,4.17,palaeofaeces,Kahukura
MS11774,12.72,palaeofaeces,Kahukura
MS11775,13.66,palaeofaeces,Kahukura
MS11776,11.15,palaeofaeces,Kahukura
MS11777,6.4,palaeofaeces,Kahukura
MS11778,0.03,palaeofaeces,Kahukura
