Alcaligenes_faecalis_str_ZD02	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4233756	10191	191758	4.52926	0.0897114	40.9	29.2
MS11670	1	4233756	2025	46785	1.10505	0.0175046	40.9	28.2
MS11673	1	4233756	2059	39723	0.938245	0.0178402	40.9	28.2
MS11674	1	4233756	672	20080	0.474283	0.00600979	40.7	29
MS11675	1	4233756	137230	2948350	69.6391	1.51872	40.2	36
MS11676	1	4233756	2033	54067	1.27705	0.0178867	40.8	28.9
MS11677	1	4233756	1993	48372	1.14253	0.01742	40.9	28.4
MS11678	1	4233756	2423	49684	1.17352	0.0212251	40.9	28.2
MS11679	1	4233756	8390	286548	6.76817	0.0826784	40.6	32.1
MS11683	1	4233756	4618	106438	2.51403	0.0412497	40.9	30
MS11684	1	4233756	1494	37736	0.891313	0.0131212	40.9	29.2
MS11686	1	4233756	1436	34784	0.821587	0.0123342	40.9	28.1
MS11770	1	4233756	2347	48183	1.13807	0.02044	40.9	28.1
MS11771	1	4233756	3718	74047	1.74897	0.0327454	40.9	28.2
MS11774	1	4233756	2529	50159	1.18474	0.0220568	40.9	28
MS11775	1	4233756	3730	77154	1.82235	0.0326332	40.9	28.4
