Amedibacterium_intestinale	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2488096	181	6322	0.25409	0.00279611	40.8	30.4
MS11670	1	2488096	400	15810	0.635426	0.00673125	40.7	32.5
MS11673	1	2488096	998	38721	1.55625	0.0163953	40.7	35.3
MS11674	1	2488096	664	27460	1.10366	0.0112307	40.5	34.9
MS11675	1	2488096	16940	597376	24.0094	0.329327	40.1	35.6
MS11676	1	2488096	23527	769254	30.9174	0.409479	40.7	36.1
MS11677	1	2488096	542	20638	0.82947	0.00869098	40.8	34.2
MS11678	1	2488096	3265	131377	5.28022	0.0586336	40.5	34.4
MS11679	1	2488096	1137	46414	1.86544	0.0205812	40.3	34.7
MS11683	1	2488096	1224	47412	1.90555	0.0211877	40.6	34.7
MS11684	1	2488096	14279	554427	22.2832	0.269437	40.3	36.1
MS11686	1	2488096	9818	396919	15.9527	0.18216	40.3	36
MS11770	1	2488096	3774	160270	6.44147	0.0689314	40.5	35.4
MS11771	1	2488096	588	24680	0.991923	0.0104297	40.3	34.3
MS11774	1	2488096	7015	254325	10.2217	0.129607	40.3	35.3
MS11775	1	2488096	89035	1674122	67.2853	1.74028	40.1	36
