Arcanobacterium_canis_str_DSM25104	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	1873758	304	6395	0.341293	0.00564747	41	27
MS11670	1	1873758	280	8198	0.437516	0.00612939	40.7	30.1
MS11673	1	1873758	173	3935	0.210006	0.00319625	40.9	26.3
MS11674	1	1873758	41	1327	0.0708202	0.000779716	40.9	27.7
MS11675	1	1873758	510	10578	0.564534	0.00986574	40.9	27.3
MS11676	1	1873758	181	4714	0.25158	0.00343534	40.9	26.5
MS11677	1	1873758	213	5247	0.280025	0.00399998	40.9	26.7
MS11678	1	1873758	207	5042	0.269085	0.00397063	40.9	26.9
MS11679	1	1873758	397	8081	0.431272	0.00762478	40.9	27.1
MS11683	1	1873758	511	9232	0.4927	0.00984652	40.9	27
MS11684	1	1873758	202	4717	0.25174	0.00386016	40.9	27.6
MS11686	1	1873758	162	4183	0.223241	0.00304842	40.9	26.5
MS11770	1	1873758	166	4418	0.235783	0.00319732	40.9	27
MS11771	1	1873758	232	5361	0.28611	0.00449738	40.9	26.9
MS11774	1	1873758	335	6525	0.348231	0.00647629	40.9	26.5
MS11775	1	1873758	404	9210	0.491526	0.00775447	40.9	27.1
