Arcanobacterium_haemolyticum_str_NCTC8452	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	1988850	228	5587	0.280916	0.00400935	40.9	27
MS11670	1	1988850	213	6432	0.323403	0.00429595	40.8	29.8
MS11673	1	1988850	127	2618	0.131634	0.002242	41	27.7
MS11674	1	1988850	40	1363	0.0685321	0.000731579	41	27.8
MS11675	1	1988850	320	8023	0.403399	0.00585062	40.9	26.2
MS11676	1	1988850	118	3276	0.164718	0.00218066	41	28
MS11677	1	1988850	141	3351	0.168489	0.00249541	41	26.5
MS11678	1	1988850	144	4142	0.208261	0.00270659	40.6	27.5
MS11679	1	1988850	226	5759	0.289564	0.00409483	40.8	27.2
MS11683	1	1988850	286	6980	0.350957	0.00509742	40.9	26.9
MS11684	1	1988850	79	2300	0.115645	0.00140031	40.9	25.8
MS11686	1	1988850	101	2938	0.147724	0.00180456	40.9	26.4
MS11770	1	1988850	1574	67663	3.40212	0.0353129	40.4	35.6
MS11771	1	1988850	171	4442	0.223345	0.00308973	40.9	26.7
MS11774	1	1988850	213	4732	0.237926	0.0038746	40.8	27.1
MS11775	1	1988850	296	8036	0.404053	0.00530105	40.9	26.5
