Arcanobacterium_phocae_str_DSM10002	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	1998342	86	2594	0.129808	0.00147072	41	25.5
MS11670	1	1998342	42	1361	0.0681065	0.00074812	41	25.8
MS11673	1	1998342	42	1300	0.0650539	0.000731607	40.9	26.8
MS11674	1	1998342	56	2345	0.117347	0.00119199	40.8	32.3
MS11675	1	1998342	2744	120812	6.04561	0.0641917	40.3	34.4
MS11676	1	1998342	71	2155	0.107839	0.0013231	40.9	26.8
MS11677	1	1998342	76	2537	0.126955	0.00137914	40.8	26.8
MS11678	1	1998342	100	3007	0.150475	0.00182501	41	25.9
MS11679	1	1998342	79	2476	0.123903	0.00139766	40.9	27.4
MS11683	1	1998342	121	3612	0.18075	0.00219082	40.9	25.8
MS11684	1	1998342	46	1385	0.0693075	0.000813675	40.9	26.7
MS11686	1	1998342	65	2219	0.111042	0.00122001	40.6	27.2
MS11770	1	1998342	5129	205108	10.2639	0.11568	40.5	34
MS11771	1	1998342	252	10010	0.500915	0.00541449	40.5	32.4
MS11774	1	1998342	80	2254	0.112794	0.00143069	40.9	27.1
MS11775	1	1998342	168	4691	0.234745	0.003013	40.9	26.1
