Arcanobacterium_pinnipediorum_str_DSM28752	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	1952277	109	3079	0.157713	0.00194081	41	26.1
MS11670	1	1952277	102	3290	0.168521	0.00210216	40.6	28.3
MS11673	1	1952277	41	1238	0.0634131	0.000704818	40.9	26.4
MS11674	1	1952277	21	700	0.0358556	0.00036419	41	28.4
MS11675	1	1952277	164	4659	0.238644	0.00302262	40.8	27.1
MS11676	1	1952277	70	2129	0.109052	0.00121602	41	26.7
MS11677	1	1952277	56	1820	0.0932245	0.00101676	41	27.1
MS11678	1	1952277	46	1571	0.0804701	0.000833386	40.9	25.3
MS11679	1	1952277	89	2505	0.128312	0.00164731	40.9	26.8
MS11683	1	1952277	111	3164	0.162067	0.00200074	40.9	26.4
MS11684	1	1952277	40	1262	0.0646425	0.000722746	40.9	25.4
MS11686	1	1952277	39	1264	0.0647449	0.0006915	40.9	26.3
MS11770	1	1952277	64	2244	0.114943	0.00123343	40.9	26.3
MS11771	1	1952277	80	2532	0.129695	0.00144703	40.8	26.3
MS11774	1	1952277	85	2232	0.114328	0.00150645	40.9	26
MS11775	1	1952277	166	4941	0.253089	0.00297806	40.9	26.8
