Bacteroides_humanifaecis_str_KGMB07931	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4240638	354	10372	0.244586	0.0029571	40.9	28.5
MS11670	1	4240638	1288	50695	1.19546	0.0131419	40.6	33.7
MS11673	1	4240638	788	26913	0.634645	0.00735573	40.8	32.1
MS11674	1	4240638	791	22434	0.529024	0.0072923	40.8	30.9
MS11675	1	4240638	16070	473643	11.1691	0.163786	40.6	34.5
MS11676	1	4240638	5294	168549	3.97461	0.0497637	40.8	33.3
MS11677	1	4240638	4042	132000	3.11274	0.0374745	40.9	33
MS11678	1	4240638	8055	262692	6.19463	0.0791546	40.8	33.9
MS11679	1	4240638	4036	128648	3.03369	0.0409052	40.6	33.4
MS11683	1	4240638	5829	165448	3.90149	0.0567518	40.7	33.3
MS11684	1	4240638	6559	155289	3.66193	0.0648836	40.7	32.9
MS11686	1	4240638	19918	629061	14.8341	0.197857	40.7	34.7
MS11770	1	4240638	3535	132394	3.12203	0.0343462	40.8	34.6
MS11771	1	4240638	2154	82202	1.93843	0.0208938	40.7	34.2
MS11774	1	4240638	27861	863912	20.3722	0.279504	40.7	35.1
MS11775	1	4240638	36470	930219	21.9358	0.372512	40.5	34.2
