Bacteroides_stercoris_str_k33-0107-F9	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4734765	956	32739	0.69146	0.00750745	40.8	33.3
MS11670	1	4734765	7537	319746	6.75315	0.0720745	40.6	35.9
MS11673	1	4734765	1421	54755	1.15645	0.0120177	40.8	34.4
MS11674	1	4734765	1834	69344	1.46457	0.0155112	40.8	34.2
MS11675	1	4734765	113889	2468021	52.1255	1.08015	40.5	36.1
MS11676	1	4734765	21212	745079	15.7363	0.186894	40.8	35.2
MS11677	1	4734765	65043	1744881	36.8525	0.554856	40.9	35.9
MS11678	1	4734765	47313	1485540	31.3752	0.434353	40.7	35.9
MS11679	1	4734765	32827	1141674	24.1126	0.308991	40.5	35.9
MS11683	1	4734765	42139	1320971	27.8994	0.377079	40.7	35.8
MS11684	1	4734765	21514	619960	13.0938	0.194186	40.7	34.4
MS11686	1	4734765	91719	2181685	46.078	0.828357	40.7	35.7
MS11770	1	4734765	12253	464792	9.81658	0.107459	40.8	35.8
MS11771	1	4734765	10519	406275	8.58068	0.0936249	40.7	35.8
MS11774	1	4734765	180569	2893445	61.1106	1.64373	40.6	36.1
MS11775	1	4734765	172309	2777133	58.6541	1.62773	40.4	35.7
