Clostridium_perfringens	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3260088	52938	1485648	45.5708	0.724826	40.5	35.6
MS11670	1	3260088	86244	2076585	63.6972	1.26682	40.4	35.8
MS11673	1	3260088	8950	384559	11.796	0.129022	40.3	35.6
MS11674	1	3260088	111035	2216948	68.0027	1.41605	40.8	35.7
MS11675	1	3260088	310580	2920143	89.5725	4.57962	40.3	35.8
MS11676	1	3260088	73477	1804221	55.3427	0.947685	40.8	35.5
MS11677	1	3260088	126569	2236619	68.6061	1.67593	40.7	35.7
MS11678	1	3260088	92432	1998451	61.3005	1.25958	40.6	35.5
MS11679	1	3260088	175121	2500510	76.7007	2.638	40.2	35.6
MS11683	1	3260088	142669	2349731	72.0757	1.98973	40.5	35.6
MS11684	1	3260088	18347	664585	20.3855	0.245752	40.6	35
MS11686	1	3260088	63559	1741154	53.4082	0.878865	40.5	35.4
MS11770	1	3260088	14904	559951	17.1759	0.203249	40.5	35.2
MS11771	1	3260088	46416	1416934	43.4631	0.647388	40.4	35.6
MS11774	1	3260088	91128	1955467	59.982	1.2056	40.7	35.8
MS11775	1	3260088	354123	2893733	88.7624	5.00144	40.4	35.9
