Edwardsiella_piscicida	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3760463	2623	48663	1.29407	0.0249717	40.9	27
MS11670	1	3760463	1043	25022	0.665397	0.00994532	40.9	27
MS11673	1	3760463	1498	29973	0.797056	0.0141645	40.9	27
MS11674	1	3760463	396	11364	0.302197	0.00377321	40.9	27.6
MS11675	1	3760463	2541	53417	1.42049	0.0247701	40.9	27.3
MS11676	1	3760463	967	26343	0.700525	0.00927306	40.9	27.3
MS11677	1	3760463	1172	28484	0.75746	0.0111468	40.9	27.1
MS11678	1	3760463	2281	54594	1.45179	0.023529	40.8	28.8
MS11679	1	3760463	1854	43283	1.151	0.0181938	40.9	27.3
MS11683	1	3760463	2335	46164	1.22761	0.0225494	40.9	27
MS11684	1	3760463	952	24109	0.641118	0.00922094	40.9	27.1
MS11686	1	3760463	916	22722	0.604234	0.00873456	40.9	27
MS11770	1	3760463	1316	29343	0.780303	0.0127596	40.9	27.2
MS11771	1	3760463	2547	53771	1.4299	0.0252628	40.9	27.8
MS11774	1	3760463	1802	38338	1.0195	0.0173997	40.9	27.3
MS11775	1	3760463	1358	32648	0.868191	0.0129075	40.9	26.8
