Edwardsiella_tarda_str_FDAARGOS_1473	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3651448	1573	32838	0.899314	0.0156264	40.9	26.8
MS11670	1	3651448	672	16626	0.455326	0.00663846	40.9	27
MS11673	1	3651448	944	19846	0.54351	0.00941572	40.9	27
MS11674	1	3651448	445	15597	0.427146	0.00486985	40.6	31
MS11675	1	3651448	1583	37597	1.02965	0.0161043	40.9	27.1
MS11676	1	3651448	738	21939	0.60083	0.00752989	40.9	27.9
MS11677	1	3651448	847	22663	0.620658	0.00847061	40.9	27.3
MS11678	1	3651448	87271	2256650	61.8015	1.08605	40.5	36.1
MS11679	1	3651448	2348	75577	2.06978	0.0250016	40.8	29.4
MS11683	1	3651448	2403	66916	1.83259	0.0247472	40.9	28.5
MS11684	1	3651448	597	16255	0.445166	0.00599296	40.9	26.9
MS11686	1	3651448	600	16147	0.442208	0.00588178	40.9	26.9
MS11770	1	3651448	861	20163	0.552192	0.00862699	40.9	26.6
MS11771	1	3651448	29279	1013172	27.7471	0.341176	40.6	35.7
MS11774	1	3651448	1066	24931	0.68277	0.0106947	40.9	27.4
MS11775	1	3651448	911	23002	0.629942	0.00890167	40.9	26.7
