Enterobacter_ludwigii_str_EN-119	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4857439	1346	37644	0.774976	0.010046	40.9	27.9
MS11670	1	4857439	517	16032	0.33005	0.003872	40.9	27.1
MS11673	1	4857439	562	13669	0.281403	0.0040719	40.9	26.9
MS11674	1	4857439	361	11771	0.242329	0.00272901	40.8	28.9
MS11675	1	4857439	23878	916858	18.8753	0.217118	40.5	35.5
MS11676	1	4857439	3021	108190	2.22731	0.0241905	40.8	30.8
MS11677	1	4857439	566	16872	0.347344	0.00413922	40.9	26.7
MS11678	1	4857439	1264	44878	0.923902	0.0102192	40.8	31.5
MS11679	1	4857439	811	23748	0.4889	0.0061553	40.8	27.4
MS11683	1	4857439	809	20705	0.426253	0.00593523	40.9	27
MS11684	1	4857439	1156	41654	0.85753	0.00931149	40.8	29.5
MS11686	1	4857439	924	31629	0.651146	0.007176	40.8	28.2
MS11770	1	4857439	612	18017	0.370916	0.00456681	40.9	27.4
MS11771	1	4857439	16469	674412	13.8841	0.155611	40.3	35.5
MS11774	1	4857439	1575	52570	1.08226	0.0125173	40.8	28.8
MS11775	1	4857439	972	28011	0.576662	0.00716983	40.9	26.8
