Enterococcus_faecalis_str_DSM20478	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2866949	306	11327	0.395089	0.00417691	40.7	32.4
MS11670	1	2866949	99	3530	0.123127	0.00134219	40.7	30.8
MS11673	1	2866949	264	11543	0.402623	0.00407262	40.7	35
MS11674	1	2866949	37277	1154198	40.2588	0.552114	40.7	36.6
MS11675	1	2866949	59718	1688828	58.9068	0.983778	40.3	36.5
MS11676	1	2866949	679	23520	0.820384	0.00947314	40.8	31.5
MS11677	1	2866949	282	10760	0.375312	0.00386439	40.8	33.2
MS11678	1	2866949	2883	119873	4.1812	0.0446977	40.5	35.7
MS11679	1	2866949	499	21199	0.739427	0.00793317	40.2	34.7
MS11683	1	2866949	356	13454	0.469279	0.00510822	40.6	32.9
MS11684	1	2866949	39259	1240315	43.2625	0.613023	40.5	36.6
MS11686	1	2866949	552	17641	0.615323	0.00768343	40.7	31.7
MS11770	1	2866949	219	8176	0.285181	0.00301924	40.9	31.3
MS11771	1	2866949	29687	1049703	36.6139	0.481703	40.3	36.5
MS11774	1	2866949	2403	103901	3.6241	0.0375619	40.4	36.1
MS11775	1	2866949	887	22410	0.781667	0.0119542	40.7	28.8
