Enterococcus_faecium_str_SRR24	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2796178	254	9596	0.343183	0.00365964	40.7	32.1
MS11670	1	2796178	54	1754	0.0627285	0.000719911	40.7	27.9
MS11673	1	2796178	6303	260596	9.31972	0.0998445	40.6	36.6
MS11674	1	2796178	14762	543452	19.4355	0.224056	40.7	36.7
MS11675	1	2796178	1971	71124	2.54361	0.0301569	40.6	32.1
MS11676	1	2796178	1593	61546	2.20108	0.0231291	40.8	33.9
MS11677	1	2796178	142	4754	0.170018	0.00185467	40.9	31.5
MS11678	1	2796178	1232	51321	1.8354	0.0188776	40.6	34.4
MS11679	1	2796178	1646	76090	2.72121	0.0277429	40.3	35.5
MS11683	1	2796178	1065	45240	1.61792	0.0164961	40.6	35.2
MS11684	1	2796178	611	24328	0.870045	0.00915464	40.7	32.3
MS11686	1	2796178	946	36267	1.29702	0.0140663	40.7	32.8
MS11770	1	2796178	5133	202136	7.22901	0.0780433	40.7	35.6
MS11771	1	2796178	92058	1847282	66.0645	1.51107	40.4	36.7
MS11774	1	2796178	6453	271823	9.72123	0.105131	40.4	36.4
MS11775	1	2796178	7935	325638	11.6458	0.128832	40.4	36
