Escherichia_coli_str_K-12	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4641652	148	4475	0.0964096	0.00122909	40.7	27.2
MS11670	1	4641652	1279	56069	1.20795	0.012764	40.5	29.3
MS11673	1	4641652	130	4674	0.100697	0.0011692	40.7	27.1
MS11674	1	4641652	7324	179561	3.86847	0.0662652	40.7	29
MS11675	1	4641652	6928	235513	5.0739	0.0691112	40.4	29
MS11676	1	4641652	17600	442598	9.53536	0.162149	40.7	29.6
MS11677	1	4641652	240	9088	0.195792	0.00208805	40.8	28.4
MS11678	1	4641652	1129	46274	0.99693	0.0106512	40.6	29.3
MS11679	1	4641652	2679	110084	2.37166	0.0283278	40.1	28.7
MS11683	1	4641652	1292	49760	1.07203	0.0124555	40.4	28
MS11684	1	4641652	36851	797611	17.1838	0.368651	40.4	29.6
MS11686	1	4641652	2472	101427	2.18515	0.0245535	40.3	29
MS11770	1	4641652	2431	86145	1.85591	0.0231471	40.6	28.8
MS11771	1	4641652	40648	720943	15.532	0.446222	39.9	29.1
MS11774	1	4641652	5163	198619	4.27906	0.0503954	40.4	29.3
MS11775	1	4641652	1121	45880	0.988441	0.0108237	40.3	28.6
