Helicobacter_cinaedi	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2078348	259	5402	0.259918	0.00452379	40.9	29.1
MS11670	1	2078348	170	6239	0.30019	0.0036043	40.7	32.9
MS11673	1	2078348	185	5597	0.2693	0.00376308	40.6	31
MS11674	1	2078348	107	3808	0.183222	0.00197368	40.9	31.9
MS11675	1	2078348	1278	52687	2.53504	0.0273058	40.4	33.3
MS11676	1	2078348	107	2932	0.141074	0.00183126	40.9	28.6
MS11677	1	2078348	11367	378704	18.2214	0.21744	40.9	34.6
MS11678	1	2078348	3281	126352	6.07944	0.0659456	40.7	33.1
MS11679	1	2078348	632	26238	1.26244	0.0133077	40.5	33.4
MS11683	1	2078348	796	32072	1.54315	0.0161768	40.7	34
MS11684	1	2078348	84	2683	0.129093	0.00161763	40.6	30.6
MS11686	1	2078348	8381	310854	14.9568	0.17264	40.7	34.1
MS11770	1	2078348	81	2105	0.101282	0.00157962	40.7	29.3
MS11771	1	2078348	146	4376	0.210552	0.00279741	40.7	30.1
MS11774	1	2078348	544	19738	0.949697	0.0107985	40.7	32.9
MS11775	1	2078348	48651	1061003	51.0503	1.05824	40.4	34.4
