Helicobacter_sp_NHP19-003	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	1539826	647	23136	1.50251	0.0169227	40.6	34.1
MS11670	1	1539826	358	14132	0.917766	0.0101252	40.5	34.1
MS11673	1	1539826	672	28175	1.82975	0.0191684	40.3	35.1
MS11674	1	1539826	5035	181856	11.8102	0.126781	40.8	36.3
MS11675	1	1539826	7847	304122	19.7504	0.227437	40.4	36.4
MS11676	1	1539826	3616	144916	9.41119	0.100594	40.6	36.2
MS11677	1	1539826	35768	945074	61.3754	1.04029	40.5	36.2
MS11678	1	1539826	1200	50064	3.25128	0.0340928	40.5	35.6
MS11679	1	1539826	2103	91979	5.97334	0.0628415	40.2	35.9
MS11683	1	1539826	2467	105021	6.82032	0.0719874	40.4	35.9
MS11684	1	1539826	8048	309646	20.1092	0.229705	40.4	36.4
MS11686	1	1539826	34733	917327	59.5734	1.00564	40.4	36.3
MS11770	1	1539826	1406	62008	4.02695	0.0415943	40.3	36.1
MS11771	1	1539826	9303	366278	23.787	0.277827	40.2	36.4
MS11774	1	1539826	6345	253405	16.4567	0.185238	40.3	36.5
MS11775	1	1539826	2062	81032	5.26241	0.0554472	40.5	36
