Kurthia_zopfii_str_NCTC10597	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2985871	678	21803	0.730206	0.0087117	40.8	30.2
MS11670	1	2985871	130	4223	0.141433	0.00164408	40.7	29.7
MS11673	1	2985871	163	6736	0.225596	0.00227605	40.6	34.1
MS11674	1	2985871	2884	112910	3.78148	0.0388617	40.8	35.8
MS11675	1	2985871	141018	2254841	75.517	2.26885	40.2	36
MS11676	1	2985871	11016	411243	13.773	0.153228	40.7	35.9
MS11677	1	2985871	274	10700	0.358354	0.00374799	40.4	31.4
MS11678	1	2985871	17316	652799	21.8629	0.259295	40.5	36
MS11679	1	2985871	5011	202604	6.78542	0.0716849	40.6	35.9
MS11683	1	2985871	4211	161843	5.42029	0.0566103	40.8	35.8
MS11684	1	2985871	641	26068	0.873045	0.00890661	40.7	33.5
MS11686	1	2985871	255	7647	0.256106	0.00315888	40.9	28.5
MS11770	1	2985871	616	24169	0.809446	0.00860385	40.7	35.1
MS11771	1	2985871	3946	133123	4.45843	0.0545077	40.7	33.3
MS11774	1	2985871	11783	487328	16.3211	0.185619	40.2	36.1
MS11775	1	2985871	658	15231	0.510102	0.00789719	40.9	27.8
