Lactococcus_garvieae_str_FDAARGOS_929	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2049769	57	2088	0.101865	0.00109281	40.5	28.8
MS11670	1	2049769	33	1197	0.0583968	0.000601043	40.8	27.8
MS11673	1	2049769	32	1466	0.0715203	0.000715203	40.4	31.9
MS11674	1	2049769	3955	74266	3.62314	0.0815336	40.7	27.3
MS11675	1	2049769	43759	1110518	54.1777	1.04353	40.2	33.6
MS11676	1	2049769	107	4045	0.197339	0.0021056	40.4	29.6
MS11677	1	2049769	69	2643	0.128941	0.00138552	40.7	29.8
MS11678	1	2049769	66	2590	0.126356	0.00130307	40.5	30
MS11679	1	2049769	23	789	0.0384921	0.000398094	40.9	25.3
MS11683	1	2049769	41	1271	0.062007	0.00068398	40.9	26.8
MS11684	1	2049769	2643	116401	5.67874	0.0591574	40.4	33.4
MS11686	1	2049769	55	1808	0.0882051	0.000944009	40.9	25.5
MS11770	1	2049769	20	671	0.0327354	0.000359553	41	27.2
MS11771	1	2049769	1936	55026	2.6845	0.0426585	40.5	28.2
MS11774	1	2049769	41	1165	0.0568357	0.000732278	40.9	26.3
MS11775	1	2049769	136	3758	0.183338	0.00229831	40.9	25.5
