Lactococcus_petauri_str_B1726	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2106259	99	3625	0.172106	0.0018578	40.8	31.2
MS11670	1	2106259	40	1558	0.07397	0.0007397	40.8	30.2
MS11673	1	2106259	61	2510	0.119169	0.00120688	40.7	31.9
MS11674	1	2106259	155913	1633198	77.5402	3.23679	40.6	33.8
MS11675	1	2106259	7323	197760	9.38916	0.165164	40.3	32.1
MS11676	1	2106259	239	9298	0.441446	0.00468224	40.5	31.6
MS11677	1	2106259	123	4808	0.228272	0.0023264	40.7	32.1
MS11678	1	2106259	122	4719	0.224047	0.00229791	40.8	30.8
MS11679	1	2106259	45	1822	0.0865041	0.000907296	40.1	31.1
MS11683	1	2106259	61	2513	0.119311	0.00123204	39.9	30.8
MS11684	1	2106259	301	12723	0.604057	0.00616971	40.7	31.5
MS11686	1	2106259	94	3564	0.16921	0.00182504	40.8	30.4
MS11770	1	2106259	37	1187	0.0563558	0.000682727	40.7	28.2
MS11771	1	2106259	68850	1416676	67.2603	1.54647	40.3	34
MS11774	1	2106259	86	3051	0.144854	0.00158765	40.8	29
MS11775	1	2106259	223	5882	0.279263	0.0039055	40.8	27.1
