NC_000913.3_Escherichia_coli	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4641652	141	4652	0.100223	0.00120367	40.7	27.3
MS11670	1	4641652	1556	69024	1.48706	0.0156216	40.5	29.2
MS11673	1	4641652	140	5300	0.114183	0.00123081	40.7	28.4
MS11674	1	4641652	7715	193905	4.1775	0.0704251	40.7	28.3
MS11675	1	4641652	12758	395311	8.5166	0.129492	40.3	28.9
MS11676	1	4641652	21936	551320	11.8777	0.203123	40.7	29
MS11677	1	4641652	257	9974	0.21488	0.00225308	40.8	27.9
MS11678	1	4641652	1410	58245	1.25483	0.0133164	40.6	29
MS11679	1	4641652	5288	213402	4.59754	0.0568244	40.1	28.7
MS11683	1	4641652	2598	103388	2.2274	0.0253938	40.4	28.3
MS11684	1	4641652	53585	1034421	22.2856	0.541217	40.3	29.1
MS11686	1	4641652	3064	128140	2.76066	0.0307227	40.2	28.6
MS11770	1	4641652	2660	97291	2.09604	0.0253386	40.6	28
MS11771	1	4641652	77051	1066283	22.9721	0.85683	39.8	28.7
MS11774	1	4641652	6130	237108	5.10827	0.0604011	40.4	28.9
MS11775	1	4641652	1129	46014	0.991328	0.0109282	40.3	28.5
