NC_002516.2_Pseudomonas_aeruginosa	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	6264404	8083	169211	2.70115	0.0481056	40.9	26.6
MS11670	1	6264404	3279	86559	1.38176	0.0196285	40.9	26.6
MS11673	1	6264404	4860	100561	1.60528	0.0287617	40.9	26.6
MS11674	1	6264404	1142	34374	0.548719	0.00674174	40.9	26.6
MS11675	1	6264404	6321	135020	2.15535	0.0379409	40.9	26.5
MS11676	1	6264404	2757	76914	1.22779	0.0162355	40.9	26.5
MS11677	1	6264404	3745	100104	1.59798	0.0223372	40.9	26.6
MS11678	1	6264404	5345	115966	1.85119	0.0327032	40.9	26.6
MS11679	1	6264404	7437	181262	2.89352	0.0464282	40.8	26.7
MS11683	1	6264404	8449	163680	2.61286	0.0512979	40.8	26.7
MS11684	1	6264404	3588	95772	1.52883	0.0217989	40.9	26.7
MS11686	1	6264404	2758	72031	1.14985	0.0163567	40.9	26.6
MS11770	1	6264404	4529	103459	1.65154	0.0273745	40.9	26.6
MS11771	1	6264404	10285	242133	3.86522	0.0637852	40.8	26.9
MS11774	1	6264404	6356	142844	2.28025	0.0385914	40.8	26.6
MS11775	1	6264404	3982	104968	1.67563	0.0236902	40.9	26.6
