NC_003197.2_Salmonella_enterica	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4857450	780	20924	0.430761	0.00572523	40.9	26.8
MS11670	1	4857450	369	11989	0.246817	0.00276647	40.9	26.7
MS11673	1	4857450	359	9178	0.188947	0.00255299	40.9	26.3
MS11674	1	4857450	527	13872	0.285582	0.00413324	40.9	29.7
MS11675	1	4857450	2904	99394	2.04622	0.0234368	40.8	27.8
MS11676	1	4857450	1210	42990	0.885032	0.00953463	40.9	28
MS11677	1	4857450	382	11400	0.234691	0.00279015	40.9	26.3
MS11678	1	4857450	482	14649	0.301578	0.00369124	40.9	26.6
MS11679	1	4857450	478	15017	0.309154	0.00366839	40.9	27.4
MS11683	1	4857450	531	14101	0.290296	0.00395887	40.9	26.7
MS11684	1	4857450	1198	34983	0.720193	0.00981853	40.8	29.3
MS11686	1	4857450	494	16979	0.349546	0.00385943	40.9	28.6
MS11770	1	4857450	430	13435	0.276585	0.00326859	40.8	27.2
MS11771	1	4857450	1744	44939	0.925156	0.014127	40.7	27.8
MS11774	1	4857450	1304	45354	0.9337	0.0105315	40.8	28.1
MS11775	1	4857450	684	20805	0.428311	0.0051317	40.9	26.7
