NC_004337.2_Shigella_flexneri	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4607202	76	2576	0.0559125	0.000637263	40.7	27.4
MS11670	1	4607202	363	16645	0.361282	0.00370203	40.4	28.4
MS11673	1	4607202	64	2650	0.0575186	0.000596675	40.8	27.5
MS11674	1	4607202	4449	115293	2.50245	0.0408955	40.7	28.1
MS11675	1	4607202	5315	176825	3.83801	0.0541904	40.3	27.9
MS11676	1	4607202	4161	125005	2.71325	0.0389775	40.7	28.5
MS11677	1	4607202	164	6385	0.138587	0.00141604	40.8	27.7
MS11678	1	4607202	507	20680	0.448862	0.00498784	40.4	29.5
MS11679	1	4607202	2501	98033	2.12782	0.0269864	40.1	28.2
MS11683	1	4607202	1397	52110	1.13106	0.0136894	40.5	28.1
MS11684	1	4607202	15309	366929	7.96425	0.15557	40.3	28.1
MS11686	1	4607202	802	34024	0.738496	0.00818436	40.2	27.7
MS11770	1	4607202	1614	61006	1.32414	0.0157041	40.6	28.3
MS11771	1	4607202	37061	580663	12.6034	0.418293	39.8	28
MS11774	1	4607202	1896	71845	1.55941	0.0187986	40.4	28.2
MS11775	1	4607202	617	24644	0.534902	0.00586864	40.5	28
