NC_007795.1_Staphylococcus_aureus	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2821361	170	5611	0.198876	0.00219362	40.7	27
MS11670	1	2821361	74	2184	0.0774094	0.000899211	40.9	28.2
MS11673	1	2821361	52	1611	0.0571001	0.00065713	40.9	29.2
MS11674	1	2821361	245	9554	0.338631	0.00353872	40.6	32.5
MS11675	1	2821361	933	22200	0.786854	0.0124748	40.8	27.7
MS11676	1	2821361	303	8142	0.288584	0.00396653	40.9	28.3
MS11677	1	2821361	174	7214	0.255692	0.00268806	40.3	31.5
MS11678	1	2821361	212	6678	0.236694	0.00284721	40.9	27.8
MS11679	1	2821361	212	8806	0.312119	0.00338914	40	31.3
MS11683	1	2821361	230	9434	0.334378	0.00354368	40.4	31.9
MS11684	1	2821361	143	4852	0.171974	0.00190086	40.8	29
MS11686	1	2821361	299	6744	0.239034	0.00391513	40.9	27.6
MS11770	1	2821361	886	40764	1.44483	0.0149917	40.2	35.4
MS11771	1	2821361	327	9286	0.329132	0.00437094	40.9	28.4
MS11774	1	2821361	206	6308	0.22358	0.0028465	40.7	29.3
MS11775	1	2821361	769	16726	0.592834	0.0103975	40.8	28.3
