NC_008261.1_Clostridium_perfringens	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3256683	52307	1472424	45.2124	0.716831	40.5	35.6
MS11670	1	3256683	85154	2058014	63.1936	1.25364	40.4	35.8
MS11673	1	3256683	8783	377903	11.6039	0.126857	40.3	35.6
MS11674	1	3256683	109179	2193169	67.3436	1.39524	40.8	35.7
MS11675	1	3256683	308317	2917566	89.587	4.55413	40.2	35.8
MS11676	1	3256683	72136	1794050	55.0883	0.9325	40.7	35.6
MS11677	1	3256683	125471	2226409	68.3643	1.66341	40.7	35.7
MS11678	1	3256683	91276	1983777	60.914	1.2473	40.6	35.6
MS11679	1	3256683	173678	2493752	76.5734	2.62138	40.1	35.6
MS11683	1	3256683	141782	2347498	72.0825	1.9805	40.5	35.6
MS11684	1	3256683	17844	653982	20.0812	0.240379	40.6	35.1
MS11686	1	3256683	62538	1727713	53.0513	0.867118	40.4	35.4
MS11770	1	3256683	14449	548639	16.8466	0.19769	40.5	35.2
MS11771	1	3256683	45773	1404662	43.1317	0.639958	40.4	35.6
MS11774	1	3256683	89853	1934026	59.3864	1.19105	40.7	35.8
MS11775	1	3256683	348136	2854787	87.6593	4.92528	40.4	35.9
