NC_009614.1_Phocaeicola_vulgatus	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	5163189	395	13321	0.257999	0.00283275	40.8	31.3
MS11670	1	5163189	2142	91160	1.76558	0.0185457	40.5	35.1
MS11673	1	5163189	2797	109368	2.11823	0.0218119	40.8	35.5
MS11674	1	5163189	2008	70568	1.36675	0.0152954	40.8	33.8
MS11675	1	5163189	24146	822919	15.9382	0.203928	40.5	34.9
MS11676	1	5163189	6404	204610	3.96286	0.0494427	40.8	32.7
MS11677	1	5163189	110711	2591857	50.1988	0.865684	40.8	36.4
MS11678	1	5163189	50718	1607735	31.1384	0.421251	40.7	36.2
MS11679	1	5163189	27813	992147	19.2158	0.23498	40.5	35.9
MS11683	1	5163189	36048	1160071	22.4681	0.29209	40.7	35.7
MS11684	1	5163189	19905	678839	13.1477	0.164056	40.7	35
MS11686	1	5163189	54322	1665743	32.2619	0.447153	40.7	35.8
MS11770	1	5163189	9332	363941	7.04876	0.0756378	40.7	35.9
MS11771	1	5163189	5681	227114	4.39872	0.0462993	40.6	35.6
MS11774	1	5163189	129245	2832019	54.8502	1.07439	40.6	36.2
MS11775	1	5163189	561166	3956878	76.6363	4.87693	40.4	36.3
