NC_012926.1_Streptococcus_suis	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2146229	76	1842	0.085825	0.00124264	40.9	27.2
MS11670	1	2146229	109	3981	0.185488	0.00203566	40.7	29.2
MS11673	1	2146229	43	1490	0.0694241	0.000711946	40.9	30.1
MS11674	1	2146229	1078	37361	1.74077	0.0213104	40.6	33.6
MS11675	1	2146229	561	18705	0.871529	0.0106964	40.6	30.6
MS11676	1	2146229	175	6014	0.280212	0.00312362	40.9	30.9
MS11677	1	2146229	129	5144	0.239676	0.00247271	40.6	30.1
MS11678	1	2146229	226	7773	0.36217	0.0042167	40.8	30
MS11679	1	2146229	1136	55847	2.6021	0.0266137	39.8	34.6
MS11683	1	2146229	1709	78067	3.6374	0.0377033	40	34.5
MS11684	1	2146229	243	10153	0.473062	0.00486388	40.6	32.1
MS11686	1	2146229	1803	77380	3.60539	0.0379671	40.4	33.7
MS11770	1	2146229	166	7709	0.359188	0.00361937	40.2	32.2
MS11771	1	2146229	1259	55779	2.59893	0.0271029	40.2	34.2
MS11774	1	2146229	487	19677	0.916817	0.00989363	40.4	31.8
MS11775	1	2146229	1458	56017	2.61002	0.0299101	40.3	32.1
