NC_016901.1_Shewanella_baltica	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	5288069	130	4195	0.0793295	0.000881607	40.9	26.5
MS11670	1	5288069	279	11448	0.216487	0.00218681	40.8	28.8
MS11673	1	5288069	81	2543	0.0480894	0.000563911	40.8	26.9
MS11674	1	5288069	808	31328	0.592428	0.00602904	40.8	27.7
MS11675	1	5288069	16929	597137	11.2922	0.145189	40.4	29.1
MS11676	1	5288069	627	24441	0.462191	0.0047662	40.8	28.3
MS11677	1	5288069	131	4163	0.0787244	0.000898816	40.9	26.4
MS11678	1	5288069	171	7313	0.138292	0.00142509	40.4	28.5
MS11679	1	5288069	57	1953	0.0369322	0.000404685	40.8	26.8
MS11683	1	5288069	80	2840	0.0537058	0.000565802	40.8	26.9
MS11684	1	5288069	61	2405	0.0454797	0.000466144	40.5	27.3
MS11686	1	5288069	57	2073	0.0392015	0.000410547	40.5	27.9
MS11770	1	5288069	45	1361	0.0257372	0.000333014	40.8	27.5
MS11771	1	5288069	27398	987811	18.68	0.225273	40.6	30.8
MS11774	1	5288069	1190	52328	0.989548	0.010056	40.4	29.9
MS11775	1	5288069	7922	254735	4.81716	0.0635084	40.5	27.4
