NC_017595.1_Streptococcus_salivarius	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2210574	65	2014	0.0911076	0.00104588	40.9	27
MS11670	1	2210574	253	10620	0.480418	0.00498604	40.6	31.8
MS11673	1	2210574	38	1271	0.0574964	0.000607535	40.7	30.3
MS11674	1	2210574	256	9576	0.433191	0.00472637	40.8	29.8
MS11675	1	2210574	1075	41807	1.89123	0.021057	40.5	31.3
MS11676	1	2210574	208	7018	0.317474	0.00353619	40.8	29.5
MS11677	1	2210574	152	6141	0.277801	0.00289744	40.5	29.5
MS11678	1	2210574	309	10796	0.48838	0.00571752	40.8	30.3
MS11679	1	2210574	529	23301	1.05407	0.0108465	40.3	32.4
MS11683	1	2210574	695	28916	1.30808	0.0135019	40.5	32.3
MS11684	1	2210574	139	5541	0.250659	0.00259571	40.6	30.2
MS11686	1	2210574	6583	260980	11.806	0.134406	40.4	33.3
MS11770	1	2210574	213	9306	0.420977	0.00425817	40.4	32.9
MS11771	1	2210574	3796	156174	7.06486	0.0770904	40.4	33.7
MS11774	1	2210574	1212	48586	2.19789	0.0229506	40.6	33.2
MS11775	1	2210574	18119	597533	27.0307	0.374506	40.3	33.9
