NC_019425.2_Carnobacterium_maltaromaticum	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3650416	229	7887	0.216058	0.00241288	40.7	29.7
MS11670	1	3650416	121	4200	0.115055	0.00129793	40.7	31
MS11673	1	3650416	310	12702	0.34796	0.00364835	40.6	34.8
MS11674	1	3650416	188	7213	0.197594	0.00201456	40.6	31
MS11675	1	3650416	8718	371658	10.1813	0.113159	40.2	35.4
MS11676	1	3650416	422	13394	0.366917	0.0043932	40.8	29.6
MS11677	1	3650416	101	3360	0.0920443	0.000994133	40.7	29.4
MS11678	1	3650416	1685	71425	1.95663	0.0202708	40.5	35.3
MS11679	1	3650416	112	3559	0.0974957	0.00113028	40.9	27.5
MS11683	1	3650416	124	4080	0.111768	0.00127465	40.7	28.9
MS11684	1	3650416	150	4964	0.135985	0.00153736	40.7	28.7
MS11686	1	3650416	235	6487	0.177706	0.0023537	40.8	28
MS11770	1	3650416	122	3271	0.0896062	0.00123027	40.9	29
MS11771	1	3650416	1960	88554	2.42586	0.0252585	40.1	35.3
MS11774	1	3650416	287	10382	0.284406	0.00311691	40.5	31.6
MS11775	1	3650416	33250	1173329	32.1423	0.415676	40.3	36.4
