NC_021505.1_Pseudomonas_putida	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	6156701	4424	112866	1.83322	0.0263659	40.9	26.6
MS11670	1	6156701	1754	54778	0.88973	0.0106104	40.9	26.7
MS11673	1	6156701	2048	48680	0.790683	0.0120262	40.9	26.3
MS11674	1	6156701	482	15567	0.252846	0.00282749	41	26.5
MS11675	1	6156701	4106	110537	1.79539	0.0251334	40.9	26.5
MS11676	1	6156701	1509	47662	0.774148	0.00904056	40.9	26.9
MS11677	1	6156701	1911	57715	0.937434	0.0113863	40.9	26.3
MS11678	1	6156701	3217	97536	1.58423	0.0202414	40.9	27.5
MS11679	1	6156701	3301	90135	1.46401	0.0207322	40.8	26.5
MS11683	1	6156701	3397	79458	1.29059	0.0204265	40.9	26.2
MS11684	1	6156701	3396	120195	1.95226	0.0216975	40.8	28.9
MS11686	1	6156701	1363	42560	0.691279	0.00813569	40.9	27.2
MS11770	1	6156701	2222	63069	1.0244	0.0135233	40.9	26.7
MS11771	1	6156701	13054	379283	6.16049	0.0848778	40.8	28
MS11774	1	6156701	3395	94092	1.52829	0.0211475	40.8	26.7
MS11775	1	6156701	2793	81363	1.32154	0.0168749	40.8	26.4
