NC_022369.1_Lactococcus_cremoris	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2427048	43	1348	0.0555407	0.000631632	40.9	27.6
MS11670	1	2427048	45	1456	0.0599906	0.000609794	40.9	26.7
MS11673	1	2427048	39	1128	0.0464762	0.000510085	40.9	29.6
MS11674	1	2427048	182	3254	0.134072	0.00293649	40.8	31.3
MS11675	1	2427048	356	10521	0.43349	0.0056682	40.7	28.7
MS11676	1	2427048	211	7144	0.294349	0.00326116	40.9	31.1
MS11677	1	2427048	54	1855	0.0764303	0.000801797	40.9	27.6
MS11678	1	2427048	359	14840	0.611442	0.00627717	40.6	34
MS11679	1	2427048	106	4172	0.171896	0.00175027	40.6	31.4
MS11683	1	2427048	78	2863	0.117962	0.00125008	40.6	29.2
MS11684	1	2427048	65	2246	0.0925404	0.000974847	40.7	27.7
MS11686	1	2427048	131	3992	0.16448	0.00198925	40.9	27.3
MS11770	1	2427048	73	2456	0.101193	0.00115614	40.6	31
MS11771	1	2427048	268	7143	0.294308	0.0044824	40.9	29.7
MS11774	1	2427048	98	3158	0.130117	0.00146309	40.9	29.3
MS11775	1	2427048	320	7759	0.319689	0.0046674	40.9	27
