NZ_AP019711.1_Amedibacterium_intestinale	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2488096	149	5620	0.225876	0.00235602	40.7	30.9
MS11670	1	2488096	383	15367	0.617621	0.00645835	40.7	32.5
MS11673	1	2488096	988	38472	1.54624	0.0161843	40.7	35.2
MS11674	1	2488096	636	26585	1.06849	0.0108328	40.5	35.1
MS11675	1	2488096	16665	595823	23.9469	0.324914	40.1	35.6
MS11676	1	2488096	23342	767387	30.8423	0.40666	40.7	36.2
MS11677	1	2488096	513	19692	0.791449	0.00826415	40.8	34.3
MS11678	1	2488096	3192	129926	5.2219	0.0574994	40.5	34.5
MS11679	1	2488096	1071	45273	1.81958	0.019496	40.3	34.6
MS11683	1	2488096	1152	46220	1.85765	0.0200463	40.6	34.6
MS11684	1	2488096	14191	553021	22.2267	0.268046	40.2	36.1
MS11686	1	2488096	9711	395505	15.8959	0.180528	40.3	36
MS11770	1	2488096	3738	159446	6.40835	0.0684198	40.5	35.4
MS11771	1	2488096	555	23846	0.958404	0.00994294	40.2	34.4
MS11774	1	2488096	6866	252589	10.1519	0.127238	40.3	35.3
MS11775	1	2488096	88066	1673615	67.2649	1.72274	40	36
