NZ_AP024854.1_Photobacterium_toruni	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3009243	308	10802	0.358961	0.00383518	40.8	29.4
MS11670	1	3009243	94	2798	0.0929802	0.00110692	40.9	27.8
MS11673	1	3009243	48	1343	0.0446292	0.000510427	40.9	26.7
MS11674	1	3009243	98	3536	0.117505	0.0012239	40.9	30.4
MS11675	1	3009243	430	15415	0.512255	0.0054841	40.8	29.9
MS11676	1	3009243	457	17402	0.578285	0.00595432	40.8	31.6
MS11677	1	3009243	117	3395	0.112819	0.00139936	40.9	26.5
MS11678	1	3009243	174	6406	0.212877	0.00240526	40.7	31.7
MS11679	1	3009243	100	3574	0.118767	0.00130963	40.7	29.4
MS11683	1	3009243	92	3322	0.110393	0.00114414	40.9	28.7
MS11684	1	3009243	67	2213	0.0735401	0.000808841	40.8	27.8
MS11686	1	3009243	155	5523	0.183535	0.00207228	40.7	28.5
MS11770	1	3009243	209	8134	0.270301	0.00293463	40.6	31.8
MS11771	1	3009243	1579	64975	2.15918	0.021978	40.5	34.6
MS11774	1	3009243	3519	139972	4.6514	0.049109	40.5	33.2
MS11775	1	3009243	3342	125856	4.18231	0.044237	40.7	33.6
