NZ_CCSF01000001.1_Pseudomonas_saudiphocaensis	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3673759	3122	73632	2.00427	0.0314457	40.9	26.3
MS11670	1	3673759	1267	38649	1.05203	0.0128057	40.9	26.4
MS11673	1	3673759	1524	34625	0.942495	0.0151423	40.9	26.5
MS11674	1	3673759	345	11403	0.310391	0.0033889	40.9	26.5
MS11675	1	3673759	2404	57151	1.55565	0.0248664	40.9	26.5
MS11676	1	3673759	1053	32412	0.882257	0.0105897	40.9	26.4
MS11677	1	3673759	1440	42062	1.14493	0.0145508	40.9	26.5
MS11678	1	3673759	1671	41026	1.11673	0.0170825	40.9	26.2
MS11679	1	3673759	14796	432361	11.7689	0.172503	40.6	30
MS11683	1	3673759	6619	189540	5.15929	0.0712295	40.8	28.3
MS11684	1	3673759	1202	35164	0.957167	0.0122858	40.9	26.7
MS11686	1	3673759	892	25172	0.685184	0.00897528	40.9	26.5
MS11770	1	3673759	1407	36067	0.981746	0.0142756	40.9	26.3
MS11771	1	3673759	5471	161638	4.3998	0.0588109	40.8	27.5
MS11774	1	3673759	2431	65980	1.79598	0.0251829	40.8	26.7
MS11775	1	3673759	2484	65901	1.79383	0.0252583	40.8	26.4
