NZ_CM003594.1_Psychrobacter_sp.	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3470205	149	5508	0.158723	0.00168117	40.6	27.1
MS11670	1	3470205	110	4092	0.117918	0.00123105	40.7	27.5
MS11673	1	3470205	135	5400	0.15561	0.00161057	40.5	29.6
MS11674	1	3470205	1472	56380	1.62469	0.0166039	40.8	28.9
MS11675	1	3470205	78543	1698480	48.9447	1.08307	40.2	29.6
MS11676	1	3470205	4973	193861	5.58644	0.0601999	40.7	29
MS11677	1	3470205	297	12108	0.348913	0.00354273	40.7	28.8
MS11678	1	3470205	6772	275024	7.9253	0.0863854	40.6	29.3
MS11679	1	3470205	61	2303	0.066365	0.000674312	40.8	26.9
MS11683	1	3470205	65	2499	0.072013	0.000727046	40.5	28.1
MS11684	1	3470205	55	2065	0.0595066	0.000595066	40.7	26.3
MS11686	1	3470205	48	1719	0.049536	0.000522448	40.9	28.7
MS11770	1	3470205	95	3700	0.106622	0.00110541	40.6	28
MS11771	1	3470205	4272	185331	5.34064	0.0567773	40.3	30
MS11774	1	3470205	1450	63096	1.81822	0.0184966	40.6	29.3
MS11775	1	3470205	40313	1075149	30.9823	0.478074	40.7	29.5
