NZ_CM144033.1_Pseudomonas_lundensis	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	5087733	1892	55695	1.09469	0.0136503	40.9	26.5
MS11670	1	5087733	1066	37184	0.730856	0.00802283	40.9	27
MS11673	1	5087733	718	19933	0.391785	0.0050551	40.9	27.6
MS11674	1	5087733	446	16000	0.314482	0.00326472	40.9	29.6
MS11675	1	5087733	10267	350675	6.89256	0.0839498	40.6	29.1
MS11676	1	5087733	2652	99713	1.95987	0.0204657	40.8	30.8
MS11677	1	5087733	934	30930	0.607933	0.00682681	40.9	27.7
MS11678	1	5087733	3390	130366	2.56236	0.0273666	40.7	30.6
MS11679	1	5087733	915	27832	0.547041	0.00672637	40.9	26.1
MS11683	1	5087733	910	25046	0.492282	0.00643607	40.9	26.4
MS11684	1	5087733	600	19520	0.383668	0.00434221	40.9	26.8
MS11686	1	5087733	432	13779	0.270828	0.00311887	40.8	26.5
MS11770	1	5087733	2791	107257	2.10815	0.0221586	40.7	30.8
MS11771	1	5087733	17961	623092	12.2469	0.150821	40.6	29.8
MS11774	1	5087733	1281	38898	0.764545	0.00952192	40.8	26.4
MS11775	1	5087733	3176	105660	2.07676	0.0243478	40.7	28.7
