NZ_CP011036.1_Pseudoalteromonas_nigrifaciens	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3521200	318	10775	0.306004	0.00328979	40.8	29.2
MS11670	1	3521200	124	4153	0.117943	0.00134244	40.6	28.2
MS11673	1	3521200	96	3143	0.0892593	0.00102891	40.8	29.7
MS11674	1	3521200	1322	50865	1.44454	0.0146521	40.8	34.8
MS11675	1	3521200	20549	824690	23.4207	0.280809	40.1	35.4
MS11676	1	3521200	1037	41210	1.17034	0.0119295	40.7	33.9
MS11677	1	3521200	1178	45918	1.30404	0.0136417	40.7	33.7
MS11678	1	3521200	1239	53235	1.51184	0.015455	40.6	34.7
MS11679	1	3521200	93	3127	0.088805	0.000964444	40.8	28.9
MS11683	1	3521200	95	3320	0.094286	0.0010008	40.8	30
MS11684	1	3521200	94	3533	0.100335	0.00102295	40.6	32.1
MS11686	1	3521200	108	3832	0.108827	0.00113086	40.9	30.9
MS11770	1	3521200	145	5804	0.16483	0.00167443	40.7	32.8
MS11771	1	3521200	655	24115	0.684852	0.00711263	40.8	32.4
MS11774	1	3521200	1345	54251	1.5407	0.015731	40.6	34.2
MS11775	1	3521200	62886	1604715	45.573	0.705204	40.7	35.2
