NZ_CP012608.1_Acinetobacter_sp.	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2962453	192	5348	0.180526	0.00233894	40.9	27.2
MS11670	1	2962453	243	8082	0.272814	0.00311161	40.9	29.3
MS11673	1	2962453	100	3033	0.102381	0.00122736	40.7	27.9
MS11674	1	2962453	391	14286	0.482235	0.00492599	40.8	31
MS11675	1	2962453	7280	240707	8.12526	0.104798	40.6	31.1
MS11676	1	2962453	2088	77733	2.62394	0.0279829	40.8	31.7
MS11677	1	2962453	304	8523	0.287701	0.00378538	40.9	27.6
MS11678	1	2962453	3295	137240	4.63265	0.048498	40.6	34.1
MS11679	1	2962453	116	3927	0.132559	0.00154804	40.8	27.5
MS11683	1	2962453	103	3499	0.118112	0.00135395	40.8	27.3
MS11684	1	2962453	434	16357	0.552144	0.00578338	40.7	29.2
MS11686	1	2962453	198	6870	0.231902	0.00252122	40.9	27.5
MS11770	1	2962453	276	9641	0.32544	0.00359904	40.8	29.7
MS11771	1	2962453	27694	715952	24.1675	0.407059	40.5	32.1
MS11774	1	2962453	1431	55619	1.87746	0.0194734	40.8	32.7
MS11775	1	2962453	1282	41963	1.4165	0.0163584	40.8	29.3
