NZ_CP012749.1_Rhodococcus_sp.	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	6570200	73501	2307824	35.1256	0.480838	40.6	34.5
MS11670	1	6570200	1823	51353	0.781605	0.0104231	40.9	28.9
MS11673	1	6570200	2401	53797	0.818803	0.0132416	40.9	28.4
MS11674	1	6570200	1059	35162	0.535174	0.00611382	40.8	30.1
MS11675	1	6570200	102383	2860575	43.5386	0.674191	40.5	34.1
MS11676	1	6570200	3374	105891	1.61169	0.0198236	40.8	30.5
MS11677	1	6570200	6019	185995	2.83089	0.0353117	40.9	31.2
MS11678	1	6570200	5786	172813	2.63025	0.0353387	40.7	31.3
MS11679	1	6570200	28179	955911	14.5492	0.187404	40.5	33.7
MS11683	1	6570200	21158	602228	9.16605	0.129551	40.7	32.4
MS11684	1	6570200	7380	235442	3.58348	0.0448836	40.8	32.2
MS11686	1	6570200	3493	88295	1.34387	0.0200164	40.8	29.3
MS11770	1	6570200	9040	330334	5.02776	0.0575401	40.6	33.5
MS11771	1	6570200	11289	418211	6.36527	0.0726862	40.6	33.7
MS11774	1	6570200	8285	130855	1.99164	0.0482701	40.8	28.9
MS11775	1	6570200	6549	223984	3.40909	0.0412398	40.5	31.7
