NZ_CP014946.1_Psychrobacter_alimentarius	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	16905	2	66	0.390417	0.00390417	41	37
MS11670	1	16905	2	105	0.621118	0.00621118	41	37
MS11673	1	16905	0	0	0	0	0	0
MS11674	1	16905	40	1378	8.15143	0.0898551	41	33
MS11675	1	16905	402	6279	37.1429	1.07128	40.2	33
MS11676	1	16905	151	4172	24.6791	0.360722	40.8	34.1
MS11677	1	16905	1	34	0.201124	0.00201124	41	37
MS11678	1	16905	114	3509	20.7572	0.284945	40.6	33.9
MS11679	1	16905	0	0	0	0	0	0
MS11683	1	16905	0	0	0	0	0	0
MS11684	1	16905	0	0	0	0	0	0
MS11686	1	16905	0	0	0	0	0	0
MS11770	1	16905	2	84	0.496894	0.00496894	41	31
MS11771	1	16905	25	949	5.61372	0.0615794	40.7	34
MS11774	1	16905	15	610	3.6084	0.0367938	40.8	33
MS11775	1	16905	337	6023	35.6285	0.799054	40.8	34.3
