NZ_CP015194.1_Shewanella_sp.	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4973697	130	3916	0.0787342	0.000938135	40.9	27
MS11670	1	4973697	205	8050	0.161851	0.00168909	40.8	27
MS11673	1	4973697	64	1955	0.0393068	0.000449565	41	25.9
MS11674	1	4973697	394	14716	0.295876	0.00301667	40.9	25.7
MS11675	1	4973697	6868	235385	4.7326	0.0606575	40.6	26.5
MS11676	1	4973697	395	15374	0.309106	0.00323944	40.7	26.6
MS11677	1	4973697	106	3115	0.0626295	0.00075658	41	25.5
MS11678	1	4973697	90	3426	0.0688824	0.000710739	40.8	27.5
MS11679	1	4973697	73	2605	0.0523755	0.000548083	40.6	28.8
MS11683	1	4973697	70	2440	0.0490581	0.000543459	40.6	26.5
MS11684	1	4973697	39	1418	0.02851	0.000298772	40.6	27.2
MS11686	1	4973697	48	1698	0.0341396	0.000356073	40.9	27.6
MS11770	1	4973697	36	1257	0.025273	0.000269417	40.8	26
MS11771	1	4973697	13623	518798	10.4308	0.118215	40.7	30
MS11774	1	4973697	633	26786	0.538553	0.00552969	40.5	28.8
MS11775	1	4973697	4576	146349	2.94246	0.0378131	40.6	26
