NZ_CP019963.1_Corynebacterium_stationis	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2871159	773	26713	0.930391	0.0106413	40.8	31.2
MS11670	1	2871159	279	10499	0.365671	0.00390644	40.5	30.6
MS11673	1	2871159	1104	45204	1.57442	0.0167702	40.4	33.5
MS11674	1	2871159	451	18200	0.63389	0.00645976	40.6	33.2
MS11675	1	2871159	667	16864	0.587359	0.00857459	40.8	28
MS11676	1	2871159	748	28010	0.975564	0.0104087	40.8	31.7
MS11677	1	2871159	306	9694	0.337634	0.00401963	40.8	29.1
MS11678	1	2871159	385	11172	0.389111	0.0050342	40.9	28.3
MS11679	1	2871159	510	12520	0.436061	0.00640926	40.9	27.5
MS11683	1	2871159	649	14771	0.514461	0.00811275	40.9	27.4
MS11684	1	2871159	244	6775	0.235967	0.00305904	40.9	26.9
MS11686	1	2871159	247	7647	0.266338	0.00326767	40.8	28.8
MS11770	1	2871159	264	8151	0.283892	0.00342545	40.8	29.1
MS11771	1	2871159	366	11072	0.385628	0.00469532	40.8	28.2
MS11774	1	2871159	480	11028	0.384096	0.00629781	40.8	27.7
MS11775	1	2871159	567	14329	0.499067	0.00718839	40.8	28
