NZ_CP023536.1_Providencia_alcalifaciens	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3990106	173	5370	0.134583	0.00158241	40.8	26.9
MS11670	1	3990106	114	3619	0.0906993	0.0010323	40.9	28.3
MS11673	1	3990106	98	3231	0.0809753	0.000843837	40.9	29.7
MS11674	1	3990106	1000	39019	0.977894	0.009905	40.8	35.4
MS11675	1	3990106	5449	187146	4.69025	0.0570865	40.7	31.5
MS11676	1	3990106	1621	59490	1.49094	0.0158297	40.8	31
MS11677	1	3990106	199	6101	0.152903	0.00178692	40.9	27.1
MS11678	1	3990106	364	13072	0.32761	0.0035771	40.8	29.7
MS11679	1	3990106	139071	2924475	73.2932	1.62617	40.3	36.6
MS11683	1	3990106	146187	2866497	71.8401	1.56475	40.6	36.5
MS11684	1	3990106	4869	199871	5.00917	0.0517382	40.6	36.5
MS11686	1	3990106	1734	71730	1.7977	0.0182095	40.7	35.8
MS11770	1	3990106	423	16833	0.421868	0.00425828	40.8	35
MS11771	1	3990106	2302	82617	2.07055	0.0234949	40.7	31.7
MS11774	1	3990106	737	30103	0.754441	0.00775142	40.6	33.1
MS11775	1	3990106	681	18535	0.464524	0.00626199	40.8	28.1
