NZ_CP023667.1_Alcaligenes_faecalis	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4075263	8823	177570	4.35726	0.0813167	40.9	29.3
MS11670	1	4075263	1555	38553	0.946025	0.0140391	40.9	28.3
MS11673	1	4075263	1540	32493	0.797323	0.0139255	40.9	28.1
MS11674	1	4075263	515	16159	0.396514	0.00488042	40.5	29.4
MS11675	1	4075263	138826	2982408	73.1832	1.59897	40.2	36.1
MS11676	1	4075263	1602	46569	1.14272	0.0147814	40.8	28.7
MS11677	1	4075263	1453	39382	0.966367	0.0132934	40.9	28.6
MS11678	1	4075263	1781	39675	0.973557	0.0162974	40.9	28.1
MS11679	1	4075263	7211	264341	6.48648	0.075001	40.6	32.4
MS11683	1	4075263	3618	92054	2.25885	0.0339539	40.8	30.5
MS11684	1	4075263	1130	30637	0.75178	0.010417	40.8	29.6
MS11686	1	4075263	1023	27004	0.662632	0.00912506	40.9	27.9
MS11770	1	4075263	1722	38678	0.949092	0.0155691	40.9	28
MS11771	1	4075263	2538	55744	1.36786	0.0231632	40.9	28.1
MS11774	1	4075263	1751	38485	0.944356	0.0159185	40.8	28.1
MS11775	1	4075263	2909	66688	1.63641	0.0266022	40.8	28.2
