NZ_CP026846.1_Shigella_boydii	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4856857	131	4737	0.0975322	0.00107374	40.6	30.6
MS11670	1	4856857	491	21843	0.449735	0.00465116	40.6	28.1
MS11673	1	4856857	78	2918	0.06008	0.000647126	40.7	27.7
MS11674	1	4856857	5404	139915	2.88077	0.0470498	40.7	28
MS11675	1	4856857	7378	225412	4.64111	0.0707147	40.4	29.4
MS11676	1	4856857	6259	164653	3.39011	0.0548126	40.8	30.1
MS11677	1	4856857	149	5873	0.120922	0.00123351	40.8	27.3
MS11678	1	4856857	767	28249	0.581631	0.0069302	40.6	29.7
MS11679	1	4856857	3173	121514	2.50191	0.0323265	40	29.3
MS11683	1	4856857	1773	65921	1.35728	0.0165687	40.4	29.1
MS11684	1	4856857	20169	435717	8.97117	0.192037	40.3	29.2
MS11686	1	4856857	971	41464	0.853721	0.00920616	40.3	28
MS11770	1	4856857	1735	65132	1.34103	0.015844	40.6	28.1
MS11771	1	4856857	43120	628745	12.9455	0.455299	39.8	28.5
MS11774	1	4856857	4528	109307	2.25057	0.0439719	40.2	31.3
MS11775	1	4856857	734	29649	0.610457	0.0066541	40.3	28.1
