NZ_CP032100.1_Arcobacter_suis	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2639269	251660	1355047	51.3418	4.11418	40.7	32
MS11670	1	2639269	4602	171089	6.48244	0.0733055	40.8	32
MS11673	1	2639269	158	5693	0.215704	0.00231617	40.7	31.7
MS11674	1	2639269	235	9218	0.349263	0.00361843	40.5	30.9
MS11675	1	2639269	497	13856	0.524994	0.00717812	40.8	29.1
MS11676	1	2639269	993	29867	1.13164	0.014504	40.8	29.9
MS11677	1	2639269	269	9335	0.353696	0.00389805	40.8	30.7
MS11678	1	2639269	344	9892	0.374801	0.00485324	40.9	29.6
MS11679	1	2639269	110	3273	0.124012	0.00147086	40.9	27.5
MS11683	1	2639269	183	4938	0.187097	0.00244045	40.9	28
MS11684	1	2639269	138	3544	0.13428	0.00186112	40.9	27.9
MS11686	1	2639269	226	5380	0.203844	0.00306979	40.9	28
MS11770	1	2639269	160	3464	0.131248	0.00217977	40.9	28.2
MS11771	1	2639269	82	2592	0.098209	0.00108363	40.9	27.5
MS11774	1	2639269	681	21820	0.826744	0.0100338	40.8	30.6
MS11775	1	2639269	1005	27569	1.04457	0.0142907	40.9	28.8
