NZ_CP036491.1_Bacteroides_sp.	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4502190	21	663	0.0147262	0.000161699	40.9	26.6
MS11670	1	4502190	139	4947	0.10988	0.00127982	40.8	32.2
MS11673	1	4502190	103	3803	0.08447	0.000932213	40.8	30.9
MS11674	1	4502190	76	2867	0.0636801	0.000679003	40.8	32.5
MS11675	1	4502190	1232	38807	0.861958	0.0123313	40.4	31.4
MS11676	1	4502190	847	19691	0.437365	0.0077007	40.8	32.6
MS11677	1	4502190	710	21384	0.474969	0.00635002	40.8	31.9
MS11678	1	4502190	770	24222	0.538005	0.00734731	40.7	31.7
MS11679	1	4502190	313	11830	0.262761	0.00303919	40.5	31.4
MS11683	1	4502190	411	14379	0.319378	0.00392453	40.6	30.8
MS11684	1	4502190	1028	18840	0.418463	0.00927016	40.8	31.5
MS11686	1	4502190	2294	56069	1.24537	0.0225104	40.5	33.3
MS11770	1	4502190	246	9385	0.208454	0.00224024	40.8	32.7
MS11771	1	4502190	177	7203	0.159989	0.00165275	40.7	32.1
MS11774	1	4502190	2099	59911	1.33071	0.0202719	40.6	32.1
MS11775	1	4502190	5113	77273	1.71634	0.0520993	40.3	32.4
