NZ_CP036523.1_Peptacetobacter_hiranonis	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2521899	888	34390	1.36365	0.0140164	40.7	34
MS11670	1	2521899	1449	61215	2.42734	0.0259285	40.5	33.8
MS11673	1	2521899	3021	119874	4.75332	0.0500869	40.7	34.7
MS11674	1	2521899	1531	59080	2.34268	0.024311	40.7	33.9
MS11675	1	2521899	46557	1175085	46.5952	0.850187	40.4	35.1
MS11676	1	2521899	47236	1142055	45.2855	0.790991	40.8	35
MS11677	1	2521899	2172	81890	3.24716	0.0354245	40.8	34.2
MS11678	1	2521899	35455	964583	38.2483	0.615916	40.6	34.9
MS11679	1	2521899	16674	576073	22.8428	0.292064	40.5	34.5
MS11683	1	2521899	22162	696805	27.6302	0.375428	40.7	34.5
MS11684	1	2521899	9506	356543	14.1379	0.162448	40.6	34.7
MS11686	1	2521899	6802	254382	10.0869	0.113217	40.7	34.3
MS11770	1	2521899	1931	68811	2.72854	0.0307153	40.8	33.6
MS11771	1	2521899	3663	154602	6.13038	0.0651763	40.4	34.9
MS11774	1	2521899	33107	946275	37.5223	0.581434	40.5	35.2
MS11775	1	2521899	135754	1699539	67.3912	2.48966	40.3	35.2
