NZ_CP038996.1_Enterococcus_faecium	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2796178	234	9139	0.326839	0.0034143	40.7	32.6
MS11670	1	2796178	52	1697	0.06069	0.000653392	40.8	28.2
MS11673	1	2796178	6310	260573	9.3189	0.0998513	40.6	36.6
MS11674	1	2796178	14750	543029	19.4204	0.223896	40.7	36.7
MS11675	1	2796178	1845	68818	2.46115	0.0285214	40.6	32.5
MS11676	1	2796178	1527	59933	2.14339	0.0222768	40.8	34.2
MS11677	1	2796178	130	4455	0.159325	0.00170948	40.9	31.9
MS11678	1	2796178	1200	50455	1.80443	0.0184659	40.6	34.7
MS11679	1	2796178	1629	75586	2.70319	0.0275226	40.3	35.6
MS11683	1	2796178	1054	44881	1.60508	0.0163445	40.6	35.3
MS11684	1	2796178	595	23805	0.851341	0.00895294	40.7	32.4
MS11686	1	2796178	902	35428	1.26702	0.0135263	40.7	33.1
MS11770	1	2796178	5102	201508	7.20655	0.077646	40.6	35.6
MS11771	1	2796178	92024	1847179	66.0609	1.51065	40.4	36.7
MS11774	1	2796178	6423	271163	9.69763	0.104721	40.4	36.4
MS11775	1	2796178	7808	323289	11.5618	0.127237	40.4	36.2
