NZ_CP047698.1_Pseudomonas_knackmussii	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	6095635	8149	178032	2.92065	0.0497889	40.9	26.6
MS11670	1	6095635	3273	89777	1.47281	0.0199851	40.9	26.7
MS11673	1	6095635	4664	98414	1.6145	0.0281985	40.9	26.7
MS11674	1	6095635	1092	34161	0.560417	0.00660555	40.9	26.6
MS11675	1	6095635	6250	134160	2.20092	0.0386478	40.9	26.6
MS11676	1	6095635	2726	81569	1.33815	0.0166391	40.9	26.9
MS11677	1	6095635	3798	103524	1.69833	0.0230855	40.9	26.7
MS11678	1	6095635	5005	113391	1.8602	0.0312128	40.9	26.8
MS11679	1	6095635	7147	178422	2.92705	0.0458817	40.8	26.9
MS11683	1	6095635	7974	159985	2.62458	0.0492283	40.9	26.8
MS11684	1	6095635	3439	94838	1.55583	0.0212928	40.9	26.8
MS11686	1	6095635	2695	74219	1.21758	0.0163097	40.9	26.7
MS11770	1	6095635	4379	102870	1.6876	0.02703	40.9	26.8
MS11771	1	6095635	9762	236522	3.88019	0.0627667	40.8	26.8
MS11774	1	6095635	6305	150898	2.47551	0.0394766	40.8	26.8
MS11775	1	6095635	4102	111370	1.82705	0.0249278	40.8	26.7
