NZ_CP049015.1_Citrobacter_freundii	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4957773	789	24943	0.503109	0.00584133	40.9	27.8
MS11670	1	4957773	1674	68530	1.38227	0.0141672	40.7	31.6
MS11673	1	4957773	278	7608	0.153456	0.00193595	40.9	26.7
MS11674	1	4957773	311	9827	0.198214	0.00232846	40.9	27.9
MS11675	1	4957773	26449	903885	18.2317	0.228441	40.6	31.9
MS11676	1	4957773	7388	275754	5.56205	0.0602466	40.8	31.3
MS11677	1	4957773	364	11609	0.234158	0.00263324	40.9	27.3
MS11678	1	4957773	1535	59673	1.20363	0.012532	40.8	30.8
MS11679	1	4957773	2331	97258	1.96173	0.0201504	40.6	32
MS11683	1	4957773	654	22898	0.461861	0.00503694	40.8	30
MS11684	1	4957773	5912	230207	4.64335	0.0495069	40.7	31.8
MS11686	1	4957773	16867	633158	12.771	0.143264	40.6	33.7
MS11770	1	4957773	1651	64619	1.30339	0.0135456	40.7	31.5
MS11771	1	4957773	2010	69545	1.40275	0.016298	40.7	29
MS11774	1	4957773	8693	336122	6.7797	0.0752017	40.6	31.6
MS11775	1	4957773	721	22030	0.444353	0.00538205	40.9	27.4
