NZ_CP049044.1_Pseudomonas_psychrophila	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	5313922	1829	59330	1.1165	0.0130476	40.8	28.3
MS11670	1	5313922	6938	288503	5.42919	0.0566006	40.7	33.9
MS11673	1	5313922	485	12770	0.240312	0.0032014	40.9	26.3
MS11674	1	5313922	258	9002	0.169404	0.00178155	40.8	27.5
MS11675	1	5313922	14362	528461	9.94484	0.117125	40.5	29.6
MS11676	1	5313922	911	32942	0.619919	0.00653228	40.9	26.8
MS11677	1	5313922	1586	58185	1.09495	0.0115378	40.9	30.9
MS11678	1	5313922	1996	78480	1.47688	0.0155162	40.7	29.8
MS11679	1	5313922	671	20781	0.391067	0.0047018	40.9	26.2
MS11683	1	5313922	650	18200	0.342497	0.00439863	40.9	25.8
MS11684	1	5313922	461	16255	0.305895	0.0033066	40.8	26.8
MS11686	1	5313922	297	9995	0.188091	0.00205272	40.8	26.5
MS11770	1	5313922	636	21543	0.405407	0.00450477	40.8	26.7
MS11771	1	5313922	42747	1560156	29.3598	0.365529	40.4	33.9
MS11774	1	5313922	956	30434	0.572722	0.00686706	40.8	26.5
MS11775	1	5313922	3123	109052	2.05219	0.0233058	40.6	28.7
