NZ_CP049818.1_Jeotgalicoccus_sp.	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2433118	262	9213	0.37865	0.00425914	40.7	29.7
MS11670	1	2433118	797	34753	1.42833	0.0146799	40.5	32.6
MS11673	1	2433118	1346	58033	2.38513	0.0246675	40.5	32.7
MS11674	1	2433118	1277	49034	2.01527	0.0205054	40.8	32.7
MS11675	1	2433118	614	13612	0.559447	0.00972086	40.8	28.8
MS11676	1	2433118	7564	280732	11.538	0.132949	40.7	33.1
MS11677	1	2433118	217	8567	0.3521	0.00369074	40.7	31.4
MS11678	1	2433118	3890	160832	6.61012	0.0718136	40.5	33.1
MS11679	1	2433118	61	1806	0.0742257	0.000898025	40.8	26.6
MS11683	1	2433118	81	2309	0.0948988	0.00117339	41	26.5
MS11684	1	2433118	75	2396	0.0984745	0.00116229	40.9	28.3
MS11686	1	2433118	97	2681	0.110188	0.00147177	41	28
MS11770	1	2433118	84	2731	0.112243	0.00131888	40.7	27.5
MS11771	1	2433118	455	15512	0.637536	0.00756766	40.6	30.7
MS11774	1	2433118	135	3946	0.162179	0.00212649	40.9	28.2
MS11775	1	2433118	478	15601	0.641194	0.00789399	40.6	29.9
