NZ_CP049902.1_Psychrobacter_sp.	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3458001	302	7251	0.209688	0.00359977	40.5	30.1
MS11670	1	3458001	95	3374	0.0975708	0.00101417	40.8	27.4
MS11673	1	3458001	137	5765	0.166715	0.00168652	40.4	28.1
MS11674	1	3458001	1267	48684	1.40787	0.0143933	40.8	27.8
MS11675	1	3458001	62787	1455256	42.0837	0.860653	40.2	28.5
MS11676	1	3458001	4227	164080	4.74494	0.0509465	40.8	28.1
MS11677	1	3458001	273	10142	0.293291	0.00311249	40.8	27.4
MS11678	1	3458001	5455	222521	6.43496	0.0695092	40.6	28.5
MS11679	1	3458001	46	1711	0.0494795	0.000504916	40.8	27.9
MS11683	1	3458001	47	1802	0.052111	0.00052111	40.3	28.2
MS11684	1	3458001	52	1959	0.0566512	0.000576923	40.3	27.8
MS11686	1	3458001	45	1607	0.0464719	0.000473684	40.9	27.8
MS11770	1	3458001	69	2627	0.0759687	0.000760844	40.8	29.4
MS11771	1	3458001	3511	152052	4.39711	0.0466402	40.3	28.7
MS11774	1	3458001	1139	48398	1.39959	0.0143525	40.5	28.4
MS11775	1	3458001	32841	911954	26.3723	0.389552	40.7	28.5
